Total Size,u-ch427-n96-start-paper-x0-17,0,0
Total Size,u-ch427-n96-start-paper-x0-17,1,0
Total Size,u-ch427-n96-start-paper-x0-17,2,0
Total Size,u-ch427-n96-start-paper-x0-17,3,0
Total Size,u-ch427-n96-start-paper-x0-17,4,0
Total Size,u-ch427-n96-start-paper-x0-17,0,0
Total Size,u-ch427-n96-start-paper-x0-17,1,0
Total Size,u-ch427-n96-start-paper-x0-17,2,0
Total Size,u-ch427-n96-start-paper-x0-17,3,0
Total Size,u-ch427-n96-start-paper-x0-17,4,0
Total Size,u-ch427-n96-start-paper-x0-17,0,0
Total Size,u-ch427-n96-start-paper-x0-17,1,0
Total Size,u-ch427-n96-start-paper-x0-17,2,0
Total Size,u-ch427-n96-start-paper-x0-17,3,0
Total Size,u-ch427-n96-start-paper-x0-17,4,0
Total Size,u-ch427-n96-start-paper-x0-17,0,0
Total Size,u-ch427-n96-start-paper-x0-17,1,0
Total Size,u-ch427-n96-start-paper-x0-17,2,0
Total Size,u-ch427-n96-start-paper-x0-17,3,0
Total Size,u-ch427-n96-start-paper-x0-17,4,0
