Total Size,u-ch427-n96-start-paper,0,0
Total Size,u-ch427-n96-start-paper,1,0
Total Size,u-ch427-n96-template-start-paper-00,0,0
Total Size,u-ch427-n96-template-start-paper-00,1,0
Total Size,u-ch427-n216-template-start-paper-00,0,0
Total Size,u-ch427-n216-template-start-paper-00,1,0
Total Size,u-ch427-n512-template-start-paper-00,0,0
Total Size,u-ch427-n512-template-start-paper-00,1,0
Total Size,u-ch427-n96-start-paper,0,0
Total Size,u-ch427-n96-start-paper,1,0
Total Size,u-ch427-n96-template-start-paper-00,0,0
Total Size,u-ch427-n96-template-start-paper-00,1,0
Total Size,u-ch427-n216-template-start-paper-00,0,0
Total Size,u-ch427-n216-template-start-paper-00,1,0
Total Size,u-ch427-n512-template-start-paper-00,0,0
Total Size,u-ch427-n512-template-start-paper-00,1,0
Total Size,u-ch427-n96-start-paper,0,0
Total Size,u-ch427-n96-start-paper,1,0
Total Size,u-ch427-n96-template-start-paper-00,0,0
Total Size,u-ch427-n96-template-start-paper-00,1,0
Total Size,u-ch427-n216-template-start-paper-00,0,0
Total Size,u-ch427-n216-template-start-paper-00,1,0
Total Size,u-ch427-n512-template-start-paper-00,0,0
Total Size,u-ch427-n512-template-start-paper-00,1,0
Total Size,u-ch427-n96-start-paper,0,0
Total Size,u-ch427-n96-start-paper,1,0
Total Size,u-ch427-n96-template-start-paper-00,0,0
Total Size,u-ch427-n96-template-start-paper-00,1,0
Total Size,u-ch427-n216-template-start-paper-00,0,0
Total Size,u-ch427-n216-template-start-paper-00,1,0
Total Size,u-ch427-n512-template-start-paper-00,0,0
Total Size,u-ch427-n512-template-start-paper-00,1,0
Total Size,u-ch427-n96-start-paper,0,0
Total Size,u-ch427-n96-start-paper,1,0
Total Size,u-ch427-n96-template-start-paper-00,0,0
Total Size,u-ch427-n96-template-start-paper-00,1,0
Total Size,u-ch427-n216-template-start-paper-00,0,0
Total Size,u-ch427-n216-template-start-paper-00,1,0
Total Size,u-ch427-n512-template-start-paper-00,0,0
Total Size,u-ch427-n512-template-start-paper-00,1,0
Total Size,u-ch427-n96-start-paper,0,6086324
Total Size,u-ch427-n96-start-paper,1,6086324
Total Size,u-ch427-n96-template-start-paper-00,0,8983396
Total Size,u-ch427-n96-template-start-paper-00,1,8983396
Total Size,u-ch427-n216-template-start-paper-00,0,30804704
Total Size,u-ch427-n216-template-start-paper-00,1,30804704
Total Size,u-ch427-n512-template-start-paper-00,0,173054624
Total Size,u-ch427-n512-template-start-paper-00,1,173054624
Total Size,u-ch427-n96-start-paper,0,6086324
Total Size,u-ch427-n96-start-paper,1,6086324
Total Size,u-ch427-n96-start-paper,2,6086324
Total Size,u-ch427-n96-start-paper,3,6086324
Total Size,u-ch427-n96-start-paper,4,6086324
Total Size,u-ch427-n96-template-start-paper-00,0,8983396
Total Size,u-ch427-n96-template-start-paper-00,1,8983396
Total Size,u-ch427-n96-template-start-paper-00,2,8983396
Total Size,u-ch427-n96-template-start-paper-00,3,8983396
Total Size,u-ch427-n96-template-start-paper-00,4,8983396
Total Size,u-ch427-n216-template-start-paper-00,0,30804704
Total Size,u-ch427-n216-template-start-paper-00,1,30804704
Total Size,u-ch427-n216-template-start-paper-00,2,30804704
Total Size,u-ch427-n216-template-start-paper-00,3,30804704
Total Size,u-ch427-n216-template-start-paper-00,4,30804704
Total Size,u-ch427-n512-template-start-paper-00,0,173054624
Total Size,u-ch427-n512-template-start-paper-00,1,173054624
Total Size,u-ch427-n512-template-start-paper-00,2,173054624
Total Size,u-ch427-n512-template-start-paper-00,3,173054624
Total Size,u-ch427-n512-template-start-paper-00,4,173054624
Total Size,u-ch427-n216-start-paper-01,0,30804704
Total Size,u-ch427-n216-start-paper-01,1,30804704
Total Size,u-ch427-n216-start-paper-01,2,30804704
Total Size,u-ch427-n216-start-paper-01,3,30804704
Total Size,u-ch427-n216-start-paper-01,4,30804704
Total Size,u-ch427-n216-start-paper-02,0,30804704
Total Size,u-ch427-n216-start-paper-02,1,30804704
Total Size,u-ch427-n216-start-paper-02,2,30804704
Total Size,u-ch427-n216-start-paper-02,3,30804704
Total Size,u-ch427-n216-start-paper-02,4,30804704
Total Size,u-ch427-n216-start-paper-03,0,30804704
Total Size,u-ch427-n216-start-paper-03,1,30804704
Total Size,u-ch427-n216-start-paper-03,2,30804704
Total Size,u-ch427-n216-start-paper-03,3,30804704
Total Size,u-ch427-n216-start-paper-03,4,30804704
Total Size,u-ch427-n216-start-paper-04,0,30804704
Total Size,u-ch427-n216-start-paper-04,1,30804704
Total Size,u-ch427-n216-start-paper-04,2,30804704
Total Size,u-ch427-n216-start-paper-04,3,30804704
Total Size,u-ch427-n216-start-paper-04,4,30804704
Total Size,u-ch427-n216-start-paper-05,0,30804704
Total Size,u-ch427-n216-start-paper-05,1,30804704
Total Size,u-ch427-n216-start-paper-05,2,30804704
Total Size,u-ch427-n216-start-paper-05,3,30804704
Total Size,u-ch427-n216-start-paper-05,4,30804704
Total Size,u-ch427-n216-start-paper-06,0,30804704
Total Size,u-ch427-n216-start-paper-06,1,30804704
Total Size,u-ch427-n216-start-paper-06,2,30804704
Total Size,u-ch427-n216-start-paper-06,3,30804704
Total Size,u-ch427-n216-start-paper-06,4,30804704
Total Size,u-ch427-n216-start-paper-07,0,30804704
Total Size,u-ch427-n216-start-paper-07,1,30804704
Total Size,u-ch427-n216-start-paper-07,2,30804704
Total Size,u-ch427-n216-start-paper-07,3,30804704
Total Size,u-ch427-n216-start-paper-07,4,30804704
Total Size,u-ch427-n216-start-paper-08,0,30804704
Total Size,u-ch427-n216-start-paper-08,1,30804704
Total Size,u-ch427-n216-start-paper-08,2,30804704
Total Size,u-ch427-n216-start-paper-08,3,30804704
Total Size,u-ch427-n216-start-paper-08,4,30804704
Total Size,u-ch427-n216-start-paper-09,0,30804704
Total Size,u-ch427-n216-start-paper-09,1,30804704
Total Size,u-ch427-n216-start-paper-09,2,30804704
Total Size,u-ch427-n216-start-paper-09,3,30804704
Total Size,u-ch427-n216-start-paper-09,4,30804704
Total Size,u-ch427-n216-start-paper-10,0,30804704
Total Size,u-ch427-n216-start-paper-10,1,30804704
Total Size,u-ch427-n216-start-paper-10,2,30804704
Total Size,u-ch427-n216-start-paper-10,3,30804704
Total Size,u-ch427-n216-start-paper-10,4,30804704
Total Size,u-ch427-n216-start-paper-20,0,30804704
Total Size,u-ch427-n216-start-paper-20,1,30804704
Total Size,u-ch427-n216-start-paper-20,2,30804704
Total Size,u-ch427-n216-start-paper-20,3,30804704
Total Size,u-ch427-n216-start-paper-20,4,30804704
Total Size,u-ch427-n216-start-paper-30,0,30804704
Total Size,u-ch427-n216-start-paper-30,1,30804704
Total Size,u-ch427-n216-start-paper-30,2,30804704
Total Size,u-ch427-n216-start-paper-30,3,30804704
