Members,Processors,XIOS Servers,Wall Clock,Data Volume,MultiFile,Series
1,960,6,874,35,FALSE,1
1,960,6,600,35,TRUE,1
1,5184,0,626,0,FALSE,2
1,5184,0,420,0,TRUE,2
5,4800,56,1620,124,FALSE,1
5,4800,56,742,124,TRUE,1
5,25920,0,1544,0,FALSE,2
5,25920,0,657,0,TRUE,2
10,9600,128,2548,229,FALSE,1
10,9600,128,912,229,TRUE,1
10,51840,0,2992,0,FALSE,2
10,51840,0,1164,0,TRUE,2
