Job ID,Job Name,Submit,Start,End,Runtime / h,Scheduling Coefficient,Job Size / Nodes,Charged Usage / CUs,Raw Usage / CUs
1819536,u-ch427-n512-start-paper-20.install_cold.19880901T0000Z,2022-06-14 15:05:17,2022-06-14 15:05:22,2022-06-14 15:05:31,0:00:09,0.643,1,0.002,0.002
1819537,u-ch427-n512-start-paper-20.xml.19880901T0000Z,2022-06-14 15:05:17,2022-06-14 15:06:57,2022-06-14 15:07:09,0:00:12,0.107,1,0.003,0.003
1819538,u-ch427-n512-start-paper-10.fcm_make2_um.19880901T0000Z,2022-06-14 15:05:27,2022-06-14 15:09:57,2022-06-14 15:18:35,0:08:38,0.657,1,0.144,0.144
1819539,u-ch427-n512-start-paper-20.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:05:34,2022-06-14 15:07:57,2022-06-14 15:08:11,0:00:14,0.089,1,0.004,0.004
1819540,u-ch427-n512-start-paper-30.ens_setup_all.19880901T0000Z,2022-06-14 15:05:43,2022-06-14 15:07:57,2022-06-14 15:10:26,0:02:29,0.527,1,0.041,0.041
1819541,u-ch427-n512-start-paper-30.install_cold.19880901T0000Z,2022-06-14 15:05:43,2022-06-14 15:05:43,2022-06-14 15:05:52,0:00:09,1,1,0.002,0.002
1819542,u-ch427-n512-start-paper-30.xml.19880901T0000Z,2022-06-14 15:05:43,2022-06-14 15:07:57,2022-06-14 15:08:11,0:00:14,0.095,1,0.004,0.004
1819544,u-ch427-n512-start-paper-20.fcm_make2_um.19880901T0000Z,2022-06-14 15:05:54,2022-06-14 15:07:57,2022-06-14 15:16:33,0:08:36,0.808,1,0.143,0.143
1819546,u-ch427-n512-start-paper-30.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:05:57,2022-06-14 15:09:57,2022-06-14 15:10:11,0:00:14,0.055,1,0.004,0.004
1819549,u-ch427-n512-start-paper-30.fcm_make2_um.19880901T0000Z,2022-06-14 15:06:17,2022-06-14 15:09:57,2022-06-14 15:18:27,0:08:30,0.699,1,0.142,0.142
1819599,u-ch427-n512-start-paper-00.install_ancil.19880901T0000Z,2022-06-14 15:08:52,2022-06-14 15:08:53,2022-06-14 15:09:04,0:00:11,0.917,1,0.003,0.003
1819602,u-ch427-n512-start-paper-01.install_ancil.19880901T0000Z,2022-06-14 15:09:33,2022-06-14 15:09:33,2022-06-14 15:09:43,0:00:10,1,1,0.003,0.003
1819605,u-ch427-n512-start-paper-10.install_ancil.19880901T0000Z,2022-06-14 15:09:56,2022-06-14 15:09:57,2022-06-14 15:10:06,0:00:09,0.9,1,0.002,0.002
1819607,u-ch427-n512-start-paper-20.install_ancil.19880901T0000Z,2022-06-14 15:10:26,2022-06-14 15:10:27,2022-06-14 15:10:36,0:00:09,0.9,1,0.002,0.002
1819610,u-ch427-n512-start-paper-30.install_ancil.19880901T0000Z,2022-06-14 15:10:50,2022-06-14 15:10:50,2022-06-14 15:10:59,0:00:09,1,1,0.002,0.002
1819620,u-ch427-n512-start-paper-00.atmos_main.19880901T0000Z,2022-06-14 15:14:46,2022-06-14 15:15:01,2022-06-14 16:33:44,1:18:43,0.997,45,0,59.037
1819622,u-ch427-n512-start-paper-01.atmos_main.19880901T0000Z,2022-06-14 15:15:12,2022-06-14 17:10:54,2022-06-14 18:48:31,1:37:37,0.458,45,0,73.212
1819636,u-ch427-n512-start-paper-10.atmos_main.19880901T0000Z,2022-06-14 15:20:38,2022-06-15 03:08:27,2022-06-15 04:49:57,1:41:30,0.125,315,0,532.875
1819638,u-ch427-n512-start-paper-20.atmos_main.19880901T0000Z,2022-06-14 15:21:06,2022-06-14 22:41:41,2022-06-15 00:14:59,1:33:18,0.175,615,0,956.325
1819656,u-ch427-n96-start-paper-30.ens_setup_all.19880901T0000Z,2022-06-14 15:25:30,2022-06-14 15:26:43,2022-06-14 15:29:13,0:02:30,0.673,1,0.042,0.042
1819657,u-ch427-n96-start-paper-30.install_cold.19880901T0000Z,2022-06-14 15:25:30,2022-06-14 15:25:31,2022-06-14 15:25:41,0:00:10,0.909,1,0.003,0.003
1819658,u-ch427-n96-start-paper-30.xml.19880901T0000Z,2022-06-14 15:25:30,2022-06-14 15:25:46,2022-06-14 15:26:01,0:00:15,0.484,1,0.004,0.004
1819659,u-ch427-n96-start-paper-30.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:25:45,2022-06-14 15:25:46,2022-06-14 15:26:01,0:00:15,0.938,1,0.004,0.004
1819662,u-ch427-n96-start-paper-30.fcm_make2_um.19880901T0000Z,2022-06-14 15:26:14,2022-06-14 15:26:43,2022-06-14 15:35:24,0:08:41,0.947,1,0.145,0.145
1819665,u-ch427-n96-start-paper-100.ens_setup_all.19880901T0000Z,2022-06-14 15:26:27,2022-06-14 15:26:43,2022-06-14 15:34:51,0:08:08,0.968,1,0.136,0.136
1819666,u-ch427-n96-start-paper-100.install_cold.19880901T0000Z,2022-06-14 15:26:27,2022-06-14 15:26:27,2022-06-14 15:26:38,0:00:11,1,1,0.003,0.003
1819667,u-ch427-n96-start-paper-100.xml.19880901T0000Z,2022-06-14 15:26:27,2022-06-14 15:26:43,2022-06-14 15:26:55,0:00:12,0.429,1,0.003,0.003
1819668,u-ch427-n96-start-paper-100.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:26:42,2022-06-14 15:26:43,2022-06-14 15:26:58,0:00:15,0.938,1,0.004,0.004
1819670,u-ch427-n96-start-paper-100.fcm_make2_um.19880901T0000Z,2022-06-14 15:26:58,2022-06-14 15:27:42,2022-06-14 15:36:38,0:08:56,0.924,1,0.149,0.149
1819688,u-ch427-n96-start-paper-30.install_ancil.19880901T0000Z,2022-06-14 15:30:36,2022-06-14 15:30:38,2022-06-14 15:30:48,0:00:10,0.833,1,0.003,0.003
1819695,u-ch427-n96-start-paper-100.install_ancil.19880901T0000Z,2022-06-14 15:31:35,2022-06-14 15:31:37,2022-06-14 15:31:48,0:00:11,0.846,1,0.003,0.003
1819717,u-ch427-n96-start-paper-30.atmos_main.19880901T0000Z,2022-06-14 15:36:23,2022-06-14 16:27:50,2022-06-14 16:57:54,0:30:04,0.369,123,0,61.637
1819719,u-ch427-n96-start-paper-100.atmos_main.19880901T0000Z,2022-06-14 15:37:10,2022-06-14 21:18:48,2022-06-14 21:49:09,0:30:21,0.082,403,0,203.851
1821095,u-ch427-n96-start-paper-30.ens_setup_all.19880901T0000Z,2022-06-14 20:31:09,2022-06-14 20:32:42,2022-06-14 20:35:09,0:02:27,0.613,1,0.041,0.041
1821096,u-ch427-n96-start-paper-30.install_cold.19880901T0000Z,2022-06-14 20:31:09,2022-06-14 20:31:11,2022-06-14 20:31:21,0:00:10,0.833,1,0.003,0.003
1821097,u-ch427-n96-start-paper-30.xml.19880901T0000Z,2022-06-14 20:31:11,2022-06-14 20:31:42,2022-06-14 20:31:56,0:00:14,0.311,1,0.004,0.004
1821098,u-ch427-n96-start-paper-30.fcm_make2_drivers.19880901T0000Z,2022-06-14 20:31:23,2022-06-14 20:31:42,2022-06-14 20:31:56,0:00:14,0.424,1,0.004,0.004
