Suite, Netcdf File, Size, Size (bytes)
, true.x0_05.nc, 198M ,201704
, true.x0_06.nc, 198M ,201704
, true.x0_07.nc, 198M ,201704
, true.x0_08.nc, 198M ,201704
, true.x0_09.nc, 198M ,201704
, true.x0_10.nc, 198M ,201704
, true.x0_11.nc, 198M ,201704
, true.x0_12.nc, 198M ,201704
, true.x0_13.nc, 198M ,201704
, true.x0_14.nc, 198M ,201704
, true.x0_15.nc, 198M ,201704
, true.x0_16.nc, 198M ,201704
, true.x0_17.nc, 198M ,201704
, true.x0_18.nc, 198M ,201704
, true.x0_19.nc, 198M ,201704
, true.x0_20.nc, 198M ,201704
, true.x0_21.nc, 198M ,201704
, true.x0_22.nc, 198M ,201704
, true.x0_23.nc, 198M ,201704
, true.x0_24.nc, 198M ,201704
, true.x0_25.nc, 198M ,201704
, true.x0_26.nc, 198M ,201704
, true.x0_27.nc, 198M ,201704
, true.x0_28.nc, 198M ,201704
, true.x0_29.nc, 198M ,201704
, true.x0_30.nc, 198M ,201704
, true.x0_31.nc, 198M ,201704
, true.x0_32.nc, 198M ,201704
, true.x0_33.nc, 198M ,201704
, true.x0_34.nc, 198M ,201704
, true.x0_35.nc, 198M ,201704
, true.x0_36.nc, 198M ,201704
, true.x0_37.nc, 198M ,201704
, true.x0_38.nc, 198M ,201704
, true.x0_39.nc, 198M ,201704
, true.x0_40.nc, 198M ,201704
, true.x0_41.nc, 198M ,201704
, true.x0_42.nc, 198M ,201704
, true.x0_43.nc, 198M ,201704
, true.x0_44.nc, 198M ,201704
, true.x0_45.nc, 198M ,201704
, true.x0_46.nc, 198M ,201704
, true.x0_47.nc, 198M ,201704
, true.x0_48.nc, 198M ,201704
, true.x0_49.nc, 198M ,201704
, true.x0_50.nc, 198M ,201704
, true.x0_51.nc, 198M ,201704
, true.x0_52.nc, 198M ,201704
, true.x0_53.nc, 198M ,201704
, true.x0_54.nc, 198M ,201704
, true.x0_55.nc, 198M ,201704
, true.x0_56.nc, 198M ,201704
, true.x0_57.nc, 198M ,201704
, true.x0_58.nc, 198M ,201704
, true.x0_59.nc, 198M ,201704
, true.x0_60.nc, 198M ,201704
, true.x0_61.nc, 198M ,201704
, true.x0_62.nc, 198M ,201704
, true.x0_63.nc, 198M ,201704
u-ch427-n1280-start-paper-pack5-x8,,Total Size,12915776

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack5-x9, true.x0_00.nc,  37M ,36992
, true.x0_01.nc,  47M ,47980
, true.x0_02.nc,  57M ,58084
, true.x0_03.nc,  61M ,61756
, true.x0_04.nc,  61M ,62352
, true.x0_05.nc,  67M ,68120
, true.x0_06.nc,  74M ,75572
, true.x0_07.nc,  83M ,84944
, true.x0_08.nc,  92M ,93192
, true.x0_09.nc,  93M ,94380
, true.x0_10.nc,  93M ,94840
, true.x0_11.nc,  93M ,95004
, true.x0_12.nc,  94M ,95592
, true.x0_13.nc,  94M ,96044
, true.x0_14.nc,  95M ,96512
, true.x0_15.nc,  95M ,97024
, true.x0_16.nc,  95M ,96948
, true.x0_17.nc,  95M ,96932
, true.x0_18.nc,  96M ,97384
, true.x0_19.nc,  96M ,98008
, true.x0_20.nc,  96M ,98136
, true.x0_21.nc,  96M ,97312
, true.x0_22.nc,  95M ,96280
, true.x0_23.nc,  95M ,96344
, true.x0_24.nc,  94M ,96096
, true.x0_25.nc,  94M ,95716
, true.x0_26.nc,  94M ,95692
, true.x0_27.nc,  94M ,95704
, true.x0_28.nc,  94M ,95996
, true.x0_29.nc,  94M ,96056
, true.x0_30.nc,  94M ,96068
, true.x0_31.nc,  94M ,96072
, true.x0_32.nc,  95M ,96712
, true.x0_33.nc,  95M ,96744
, true.x0_34.nc,  94M ,96040
, true.x0_35.nc,  94M ,95696
, true.x0_36.nc,  94M ,95240
, true.x0_37.nc,  93M ,94512
, true.x0_38.nc,  93M ,95156
, true.x0_39.nc,  94M ,95440
, true.x0_40.nc,  94M ,95860
, true.x0_41.nc,  95M ,96444
, true.x0_42.nc,  93M ,95000
, true.x0_43.nc,  92M ,93996
, true.x0_44.nc,  92M ,93232
, true.x0_45.nc,  93M ,94516
, true.x0_46.nc,  94M ,96044
, true.x0_47.nc,  95M ,96864
, true.x0_48.nc,  95M ,96300
, true.x0_49.nc,  94M ,96184
, true.x0_50.nc,  95M ,96524
, true.x0_51.nc,  95M ,96812
, true.x0_52.nc,  95M ,96484
, true.x0_53.nc,  94M ,95908
, true.x0_54.nc,  93M ,94672
, true.x0_55.nc,  92M ,93884
, true.x0_56.nc,  90M ,91328
, true.x0_57.nc,  88M ,89540
, true.x0_58.nc,  86M ,87292
, true.x0_59.nc,  83M ,84984
, true.x0_60.nc,  82M ,83808
, true.x0_61.nc,  80M ,81368
, true.x0_62.nc,  75M ,75844
, true.x0_63.nc,  65M ,66564
u-ch427-n1280-start-paper-pack5-x9,,Total Size,5758124

