Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper,,,
u-ch427-n96-start-paper,,Total Size,0

