Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens00,,,
u-ch427-n96-max18-stdev-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens01, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens01,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens02, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens02,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens03, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens03,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens04, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens04,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens05, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens05,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens06, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens06,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens07, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens07,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens08, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens08,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens09, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens09,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens10, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens10,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens11, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens11,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens12, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens12,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens13, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens13,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens14, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens14,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens15, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89896
u-ch427-n96-max18-stdev-ens15,,Total Size,91660

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens16, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens16,,Total Size,91664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens17, test-m01s00i028-st, 1.8M ,1764
, test-m01s05i256-st,  88M ,89896
u-ch427-n96-max18-stdev-ens17,,Total Size,91660

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens18, test-m01s00i028-st, 1.8M ,1768
, test-m01s05i256-st,  88M ,89900
u-ch427-n96-max18-stdev-ens18,,Total Size,91668

