SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n512-start-paper-13,189,166.47,7164.95,37.91,52.07,45.13,69.29,1640.32,1066.18,1091.32,,,,
u-ch427-n512-start-paper-14,189,206.48,7219.99,38.2,52.16,45.76,69.43,1643.15,1081.03,1093.59,,,,
u-ch427-n512-start-paper-15,189,169.5,7261.24,38.42,48.25,43.44,59.78,1519.93,1026.2,941.57,,,,
u-ch427-n512-start-paper-16,189,158.16,7032.64,37.21,48.61,43.19,62.28,1531.28,1020.32,980.95,,,,
u-ch427-n512-start-paper-17,189,161.56,7092.45,37.53,43.63,39.91,50.27,1374.43,942.98,791.72,,,,
u-ch427-n512-start-paper-18,189,163.14,7154.51,37.85,39.49,37.92,41.03,1244.08,895.97,646.14,,,,
u-ch427-n512-start-paper-19,189,165.65,7202.54,38.11,40.46,37.62,42.67,1274.42,888.69,671.98,,,,
u-ch427-n512-start-paper-20,189,169.08,7143.0,37.79,38.94,37.08,39.63,1226.49,875.94,624.18,,,,
u-ch427-n512-start-paper-21,189,164.08,7284.79,38.54,45.25,41.09,53.11,1425.28,970.77,836.48,,,,
u-ch427-n512-start-paper-22,189,163.04,7166.23,37.92,40.04,37.5,41.55,1261.33,885.85,654.38,,,,
u-ch427-n512-start-paper-23,189,165.72,7084.94,37.49,39.97,37.87,42.31,1258.95,894.67,666.4,,,,
u-ch427-n512-start-paper-24,189,159.3,7156.51,37.87,43.77,40.8,50.19,1378.8,963.93,790.5,,,,
u-ch427-n512-start-paper-25,189,159.65,7183.98,38.01,43.8,40.17,50.05,1379.58,948.97,788.22,,,,
u-ch427-n512-start-paper-26,189,171.47,7279.54,38.52,50.41,43.64,64.45,1587.99,1030.92,1015.09,,,,
u-ch427-n512-start-paper-27,189,166.72,7271.53,38.47,45.65,41.62,53.97,1437.95,983.38,850.03,,,,
u-ch427-n512-start-paper-28,189,163.7,7252.34,38.37,39.35,37.82,39.62,1239.56,893.56,624.0,,,,
u-ch427-n512-start-paper-29,189,163.04,7196.62,38.08,39.87,38.17,41.11,1255.78,901.67,647.52,,,,
u-ch427-n512-start-paper-30,189,171.0,7188.2,38.03,42.15,38.96,46.49,1327.86,920.51,732.28,,,,
u-ch427-n512-start-paper-30-no-io,189,165.01,6798.49,35.97,35.54,34.64,34.0,1119.66,818.39,535.43,,,,
u-ch427-n512-start-paper-30-no-io-no-files,189,159.74,6128.81,32.43,31.86,31.16,30.44,1003.57,736.18,479.44,,,,
u-ch427-n512-start-paper-ms-00,189,161.28,6042.91,31.97,31.39,30.62,29.98,988.66,723.5,472.11,,,,
u-ch427-n512-start-paper-ms-x0-prec-00,189,159.44,5763.39,30.49,29.98,29.28,28.6,944.49,691.7,450.51,,,,
u-ch427-n512-start-paper-ms-x0-prec-01,189,162.9,6939.99,36.72,36.52,35.62,35.49,1150.28,841.64,558.91,,,,
u-ch427-n512-start-paper-ms-x0-prec-02,189,158.99,6768.22,35.81,35.74,34.67,34.8,1125.74,819.11,548.13,,,,
u-ch427-n512-start-paper-ms-x0-prec-03,189,159.31,6723.67,35.57,38.23,35.94,40.89,1204.11,849.06,644.08,,,,
u-ch427-n512-start-paper-ms-x0-prec-04,189,161.06,7112.94,37.63,39.0,37.6,39.85,1228.65,888.34,627.71,,,,
u-ch427-n512-start-paper-ms-x0-prec-05,189,161.3,7062.71,37.37,39.87,37.18,41.95,1255.96,878.35,660.7,,,,
u-ch427-n512-start-paper-ms-x0-prec-06,189,161.28,7024.29,37.17,44.42,40.45,52.57,1399.17,955.56,828.02,,,,
u-ch427-n512-start-paper-ms-x0-prec-07,189,155.23,7125.15,37.7,43.31,40.36,49.6,1364.24,953.51,781.2,,,,
u-ch427-n512-start-paper-ms-x0-prec-08,189,163.17,7070.97,37.41,40.72,37.39,44.12,1282.73,883.38,694.85,,,,
u-ch427-n512-start-paper-ms-x0-prec-09,189,160.14,7141.77,37.79,47.75,42.24,59.48,1504.24,998.0,936.79,,,,
u-ch427-n512-start-paper-ms-x0-prec-10,189,158.88,7071.2,37.41,39.78,37.53,41.73,1253.18,886.63,657.27,,,,
u-ch427-n512-start-paper-ms-x0-prec-20,189,161.46,7576.23,40.09,55.17,48.93,73.33,1737.72,1155.91,1155.02,,,,
u-ch427-n512-start-paper-ms-x0-prec-30,189,171.82,7553.15,39.96,58.92,47.62,82.25,1856.02,1125.06,1295.49,,,,
u-ch427-n512-start-paper-prec-00,189,155.0,5936.37,31.41,30.92,30.23,29.57,974.08,714.14,465.72,,,,
u-ch427-n512-start-paper-x0-00,189,165.65,5858.45,31.0,30.36,29.79,28.99,956.37,703.74,456.63,,,,
u-ch427-n512-start-paper-x0-01,189,165.44,7015.03,37.12,36.94,36.02,35.66,1163.6,851.01,561.64,,,,
u-ch427-n512-start-paper-x0-02,189,161.95,6929.1,36.66,42.34,39.12,48.61,1333.74,924.13,765.59,,,,
u-ch427-n512-start-paper-x0-03,189,165.32,6949.58,36.77,43.08,40.17,50.17,1356.92,948.99,790.17,,,,
u-ch427-n512-start-paper-x0-04,189,166.34,6888.35,36.45,38.39,36.7,40.16,1209.2,866.92,632.56,,,,
u-ch427-n512-start-paper-x0-05,189,161.32,6925.11,36.64,40.83,38.63,45.28,1286.2,912.56,713.15,,,,
u-ch427-n512-start-paper-x0-06,189,164.99,6992.93,37.0,42.47,39.03,48.96,1337.65,922.15,771.17,,,,
u-ch427-n512-start-paper-x0-07,189,161.5,7043.58,37.27,37.34,36.41,36.72,1176.06,860.21,578.41,,,,
u-ch427-n512-start-paper-x0-08,189,163.98,7117.99,37.66,37.75,36.88,36.97,1189.17,871.37,582.25,,,,
u-ch427-n512-start-paper-x0-09,189,167.76,6996.56,37.02,40.04,37.81,43.51,1261.4,893.37,685.26,,,,
u-ch427-n512-start-paper-x0-10,189,165.28,7240.87,38.31,46.82,42.49,56.87,1474.95,1003.9,895.74,,,,
u-ch427-n512-start-paper-x0-11,189,168.29,7225.25,38.23,41.21,38.06,43.91,1298.27,899.11,691.52,,,,
u-ch427-n512-start-paper-x0-20,189,189.22,7075.1,37.43,48.95,43.17,62.93,1541.79,1019.89,991.22,,,,
u-ch427-n512-start-paper-x0-30,189,171.29,7254.04,38.38,50.7,43.15,65.48,1596.94,1019.39,1031.35,,,,
u-ch427-n512-start-paper-x0-prec-00,189,156.28,5661.98,29.96,29.38,28.82,27.99,925.43,680.76,440.91,,,,
u-ch427-n512-template-start-00,189,159.13,6223.21,32.93,32.43,31.67,31.03,1021.41,748.17,488.67,,,,
u-ch427-n512-template-start-all,189,163.25,6279.56,33.23,32.84,31.92,31.73,1034.41,754.08,499.74,,,,
u-ch427-n512-template-start-all2,189,169.4,6464.77,34.21,33.84,32.91,32.66,1066.07,777.59,514.42,,,,
u-ch427-n512-template-start-paper,189,160.28,6886.29,36.44,36.06,35.3,34.76,1135.87,833.99,547.49,,,,
u-ch427-n512-template-start-paper-00,189,157.83,6994.64,37.01,48.4,42.45,61.95,1524.69,1002.98,975.76,,,,
u-ch427-n512-template-start-paper-ms,189,162.52,7119.51,37.67,37.76,36.56,36.75,1189.53,863.8,578.78,,,,
u-ch427-n512-template-start-paper-ms-00,189,167.52,7087.86,37.5,38.08,36.46,38.03,1199.5,861.43,599.03,,,,
u-ch427-n512-template-start-paper-ms-x0-prec,189,173.87,7078.31,37.45,37.56,36.32,36.91,1183.03,858.05,581.31,,,,
u-ch427-n512-template-start-paper-ms-x0-prec-00,189,160.16,6806.24,36.01,36.01,35.03,35.51,1134.25,827.56,559.23,,,,
u-ch427-n512-template-start-paper-prec,189,163.28,6942.13,36.73,36.56,35.63,35.37,1151.74,841.84,557.09,,,,
u-ch427-n512-template-start-paper-prec-00,189,163.46,7301.93,38.63,38.42,37.37,37.09,1210.15,882.82,584.1,,,,
u-ch427-n512-template-start-paper-x0,189,159.74,6495.07,34.37,34.85,33.62,34.66,1097.64,794.23,545.89,,,,
u-ch427-n512-template-start-paper-x0-00,189,162.16,6821.05,36.09,38.95,36.93,41.32,1226.93,872.47,650.79,,,,
u-ch427-n512-template-start-paper-x0-prec,189,166.36,7329.92,38.78,38.32,37.51,36.95,1207.2,886.2,581.97,,,,
u-ch427-n512-template-start-paper-x0-prec-00,189,167.36,6855.7,36.27,39.85,37.59,43.61,1255.2,888.08,686.88,,,,
u-ch427-n512-template-start-paper-x5,189,165.79,6875.83,36.38,38.77,36.89,41.11,1221.35,871.45,647.5,,,,
u-ch427-n512-template-start-paper-x5-00,189,157.56,6962.55,36.84,42.59,38.84,49.08,1341.64,917.61,773.09,,,,
u-ch427-n96-start-paper-00,95,8.47,59.89,0.63,0.5,0.5,0.44,7.99,5.92,3.52,,,,
u-ch427-n96-start-paper-01,95,9.49,64.88,0.68,0.56,0.54,0.5,8.92,6.46,3.97,,,,
u-ch427-n96-start-paper-01-active,95,9.23,66.62,0.7,0.59,0.56,0.5,9.37,6.61,3.99,,,,
u-ch427-n96-start-paper-02,95,7.88,63.54,0.67,0.58,0.56,0.52,9.23,6.59,4.1,,,,
u-ch427-n96-start-paper-03,95,4.79,60.94,0.64,0.6,0.55,0.53,9.43,6.58,4.22,,,,
u-ch427-n96-start-paper-04,95,10.06,69.93,0.74,0.83,0.58,0.55,13.19,6.84,4.39,,,,
u-ch427-n96-start-paper-05,95,9.74,66.36,0.7,0.62,0.57,0.56,9.8,6.81,4.46,,,,
u-ch427-n96-start-paper-06,95,7.88,64.98,0.68,0.64,0.59,0.58,10.19,6.97,4.63,,,,
u-ch427-n96-start-paper-07,95,7.47,64.87,0.68,0.66,0.6,0.6,10.5,7.07,4.78,,,,
u-ch427-n96-start-paper-08,95,5.96,64.58,0.68,0.7,0.68,0.67,11.11,8.04,5.34,,,,
u-ch427-n96-start-paper-09,95,8.49,66.8,0.7,0.71,0.59,0.63,11.3,6.95,5.0,,,,
u-ch427-n96-start-paper-10,95,5.82,64.52,0.68,0.72,0.59,0.61,11.44,7.03,4.84,,,,
u-ch427-n96-start-paper-100-1,95,5.31,628.91,6.62,28.96,14.49,29.19,458.6,172.07,231.06,,,,
u-ch427-n96-start-paper-100-128-2,95,5.95,107.81,1.13,2.91,1.5,2.71,46.04,17.77,21.46,,,,
u-ch427-n96-start-paper-100-128-4,95,6.41,111.59,1.17,3.06,1.78,3.16,48.38,21.17,25.01,,,,
u-ch427-n96-start-paper-100-128-8,95,8.68,93.58,0.99,2.07,1.22,2.0,32.77,14.51,15.83,,,,
u-ch427-n96-start-paper-100-16-2,95,10.02,200.39,2.11,7.26,3.71,7.69,114.98,44.01,60.86,,,,
u-ch427-n96-start-paper-100-2,95,4.16,665.77,7.01,30.79,15.29,32.59,487.51,181.55,257.99,,,,
u-ch427-n96-start-paper-100-256-16,95,8.31,93.99,0.99,2.07,1.23,2.01,32.76,14.65,15.91,,,,
u-ch427-n96-start-paper-100-256-2,95,8.08,93.21,0.98,2.07,1.18,1.93,32.81,13.97,15.31,,,,
u-ch427-n96-start-paper-100-256-4,95,8.68,92.17,0.97,1.99,1.22,1.97,31.48,14.44,15.59,,,,
u-ch427-n96-start-paper-100-256-8,95,8.05,91.72,0.97,1.99,1.19,1.93,31.55,14.07,15.24,,,,
u-ch427-n96-start-paper-100-3,95,5.53,658.76,6.93,30.84,15.27,30.15,488.36,181.31,238.72,,,,
u-ch427-n96-start-paper-100-32-2,95,9.49,131.76,1.39,3.95,2.27,3.95,62.61,26.97,31.3,,,,
u-ch427-n96-start-paper-100-4,95,5.68,647.71,6.82,30.04,14.72,32.08,475.62,174.76,253.97,,,,
u-ch427-n96-start-paper-100-5,95,7.11,654.49,6.89,30.53,15.72,31.27,483.42,186.7,247.59,,,,
u-ch427-n96-start-paper-100-512-16,95,8.99,94.34,0.99,2.07,1.21,1.99,32.8,14.4,15.77,,,,
u-ch427-n96-start-paper-100-512-2,95,9.78,93.34,0.98,1.98,1.19,1.91,31.35,14.14,15.14,,,,
u-ch427-n96-start-paper-100-512-4,95,8.94,92.83,0.98,2.0,1.17,1.93,31.69,13.86,15.31,,,,
u-ch427-n96-start-paper-100-512-8,95,13.69,99.36,1.05,2.1,1.21,2.02,33.26,14.37,16.02,,,,
u-ch427-n96-start-paper-10-06-02,95,7.79,66.1,0.7,0.7,0.6,0.64,11.13,7.15,5.09,,,,
u-ch427-n96-start-paper-100-6-2,95,5.29,666.7,7.02,31.25,14.86,31.49,494.79,176.42,249.26,,,,
u-ch427-n96-start-paper-100-64-2,95,6.79,94.39,0.99,2.22,1.13,2.03,35.11,13.41,16.04,,,,
u-ch427-n96-start-paper-100-64-4,95,8.68,93.38,0.98,2.07,1.13,1.88,32.8,13.38,14.92,,,,
u-ch427-n96-start-paper-100-8-2,95,5.59,445.02,4.68,19.56,9.47,20.74,309.77,112.44,164.2,,,,
u-ch427-n96-start-paper-100-active,95,17.57,676.57,7.12,18.02,10.35,17.8,285.39,122.92,140.88,,,,
u-ch427-n96-start-paper-100-io,95,10.05,102.17,1.08,2.4,1.22,2.12,37.95,14.46,16.78,,,,
u-ch427-n96-start-paper-100-io2,95,6.05,98.6,1.04,2.44,1.4,2.4,38.6,16.65,18.98,,,,
u-ch427-n96-start-paper-100-no-io,95,13.2,68.23,0.72,0.54,0.53,0.48,8.55,6.33,3.78,,,,
u-ch427-n96-start-paper-100-no-io-no-files,95,8.56,60.03,0.63,0.5,0.5,0.44,7.99,5.92,3.52,,,,
u-ch427-n96-start-paper-101,95,6.18,679.11,7.15,32.49,11.32,31.76,514.38,134.41,251.4,,,,
u-ch427-n96-start-paper-102,95,5.22,699.92,7.37,32.65,13.47,31.38,517.02,159.94,248.4,,,,
u-ch427-n96-start-paper-103,95,10.16,455.05,4.79,20.02,9.98,21.0,316.91,118.49,166.27,,,,
u-ch427-n96-start-paper-104,95,6.68,682.56,7.18,32.24,12.41,32.14,510.42,147.35,254.41,,,,
u-ch427-n96-start-paper-105,95,7.98,706.75,7.44,33.1,14.8,33.61,524.05,175.73,266.11,,,,
u-ch427-n96-start-paper-106,95,5.62,725.78,7.64,33.95,16.37,31.93,537.6,194.38,252.81,,,,
u-ch427-n96-start-paper-107,95,3.38,689.94,7.26,34.4,10.87,32.81,544.6,129.11,259.77,,,,
u-ch427-n96-start-paper-108,95,8.62,772.35,8.13,38.02,11.76,36.67,602.01,139.61,290.32,,,,
u-ch427-n96-start-paper-109,95,5.46,456.64,4.81,20.7,10.22,20.86,327.8,121.33,165.13,,,,
u-ch427-n96-start-paper-11,95,7.72,67.33,0.71,0.77,0.61,0.64,12.15,7.23,5.05,,,,
u-ch427-n96-start-paper-110,95,5.11,773.66,8.14,37.58,13.83,36.12,595.06,164.26,285.95,,,,
u-ch427-n96-start-paper-111,95,4.14,854.22,8.99,41.65,16.22,41.57,659.51,192.64,329.11,,,,
u-ch427-n96-start-paper-112,95,5.17,737.62,7.76,34.13,17.27,34.88,540.42,205.06,276.17,,,,
u-ch427-n96-start-paper-113,95,5.9,841.8,8.86,41.2,14.76,40.51,652.38,175.31,320.71,,,,
u-ch427-n96-start-paper-114,95,5.71,842.28,8.87,41.13,13.11,41.98,651.23,155.72,332.36,,,,
u-ch427-n96-start-paper-115,95,5.85,479.18,5.04,20.67,10.17,23.1,327.26,120.77,182.87,,,,
u-ch427-n96-start-paper-12,95,7.4,67.94,0.72,0.84,0.6,0.63,13.27,7.17,5.03,,,,
u-ch427-n96-start-paper-120,95,5.97,905.87,9.54,42.78,19.89,45.1,677.36,236.16,357.01,,,,
u-ch427-n96-start-paper-13,95,7.87,67.05,0.71,0.76,0.61,0.65,11.96,7.23,5.18,,,,
u-ch427-n96-start-paper-14,95,7.39,75.72,0.8,1.22,0.79,1.07,19.34,9.43,8.45,,,,
u-ch427-n96-start-paper-15,95,8.36,77.61,0.82,1.28,0.94,1.26,20.19,11.15,9.96,,,,
u-ch427-n96-start-paper-16,95,6.7,78.97,0.83,1.39,0.92,1.39,21.98,10.96,10.99,,,,
u-ch427-n96-start-paper-17,95,6.5,90.85,0.96,2.0,1.16,1.86,31.61,13.78,14.75,,,,
u-ch427-n96-start-paper-18,95,6.23,79.42,0.84,1.51,0.93,1.5,23.95,11.03,11.86,,,,
u-ch427-n96-start-paper-19,95,6.93,73.34,0.77,1.08,1.0,1.11,17.06,11.91,8.77,,,,
u-ch427-n96-start-paper-20,95,8.65,95.03,1.0,2.12,1.08,1.86,33.54,12.88,14.7,,,,
u-ch427-n96-start-paper-21,95,8.47,98.14,1.03,2.15,1.15,1.81,34.11,13.63,14.32,,,,
u-ch427-n96-start-paper2-100,95,4.4,662.43,6.97,31.52,15.88,31.4,499.09,188.52,248.59,,,,
u-ch427-n96-start-paper2-100-128-2,95,5.82,110.46,1.16,3.07,1.53,2.9,48.68,18.19,22.96,,,,
u-ch427-n96-start-paper2-100-128-4,95,6.73,108.83,1.15,2.88,1.61,2.71,45.63,19.14,21.46,,,,
u-ch427-n96-start-paper2-100-128-8,95,5.46,91.21,0.96,2.09,1.23,2.0,33.14,14.56,15.82,,,,
u-ch427-n96-start-paper2-100-16-2,95,8.48,198.3,2.09,7.26,3.68,7.6,114.93,43.71,60.2,,,,
u-ch427-n96-start-paper2-100-256-16,95,8.66,94.11,0.99,2.07,1.26,2.01,32.76,14.93,15.88,,,,
u-ch427-n96-start-paper2-100-256-2,95,11.62,97.65,1.03,2.15,1.21,1.96,34.05,14.32,15.49,,,,
u-ch427-n96-start-paper2-100-256-4,95,7.33,91.44,0.96,2.01,1.2,1.9,31.79,14.21,15.08,,,,
u-ch427-n96-start-paper2-100-256-8,95,10.28,93.84,0.99,2.01,1.18,1.93,31.83,14.01,15.25,,,,
u-ch427-n96-start-paper2-100-32-2,95,8.65,130.09,1.37,3.93,2.06,3.96,62.22,24.41,31.31,,,,
u-ch427-n96-start-paper2-100-512-16,95,9.49,99.37,1.05,2.29,1.32,2.24,36.3,15.71,17.69,,,,
u-ch427-n96-start-paper2-100-512-2,95,7.89,91.9,0.97,2.01,1.17,1.94,31.83,13.93,15.36,,,,
u-ch427-n96-start-paper2-100-512-4,95,10.12,94.16,0.99,2.0,1.2,1.94,31.72,14.25,15.33,,,,
u-ch427-n96-start-paper2-100-512-8,95,9.44,94.26,0.99,2.04,1.21,2.01,32.36,14.32,15.94,,,,
u-ch427-n96-start-paper2-100-64-2,95,7.83,93.88,0.99,2.12,1.15,1.94,33.49,13.6,15.35,,,,
u-ch427-n96-start-paper2-100-64-4,95,9.46,96.63,1.02,2.15,1.2,2.06,34.06,14.27,16.3,,,,
u-ch427-n96-start-paper2-101,95,5.28,692.66,7.29,33.68,12.29,33.7,533.29,145.92,266.77,,,,
u-ch427-n96-start-paper2-102,95,6.51,682.67,7.19,32.89,10.8,31.84,520.76,128.29,252.07,,,,
u-ch427-n96-start-paper2-103,95,5.32,453.87,4.78,20.09,11.21,21.67,318.06,133.1,171.52,,,,
u-ch427-n96-start-paper2-104,95,5.48,730.26,7.69,35.38,13.17,35.52,560.26,156.42,281.2,,,,
u-ch427-n96-start-paper2-105,95,4.47,703.9,7.41,33.97,12.2,32.8,537.84,144.93,259.67,,,,
u-ch427-n96-start-paper2-106,95,5.79,725.83,7.64,34.28,16.89,34.44,542.79,200.63,272.64,,,,
u-ch427-n96-start-paper2-107,95,8.09,787.32,8.29,38.46,12.67,36.79,608.93,150.51,291.28,,,,
u-ch427-n96-start-paper2-108,95,6.89,765.08,8.05,37.22,13.23,36.94,589.39,157.09,292.46,,,,
u-ch427-n96-start-paper2-109,95,5.44,415.63,4.38,17.69,9.09,19.67,280.07,108.0,155.73,,,,
u-ch427-n96-start-paper2-110,95,4.92,810.65,8.53,39.73,13.78,38.45,629.01,163.62,304.41,,,,
u-ch427-n96-start-paper2-111,95,6.12,833.85,8.78,40.85,15.12,39.83,646.75,179.52,315.32,,,,
u-ch427-n96-start-paper2-112,95,5.33,721.65,7.6,34.44,15.68,37.1,545.34,186.2,293.74,,,,
u-ch427-n96-start-paper2-113,95,4.16,865.01,9.11,42.47,15.53,42.96,672.4,184.41,340.1,,,,
u-ch427-n96-start-paper2-114,95,4.01,734.76,7.73,34.42,15.25,36.34,545.01,181.06,287.69,,,,
u-ch427-n96-start-paper2-115,95,7.12,501.43,5.28,23.3,11.7,23.66,368.99,138.94,187.34,,,,
u-ch427-n96-start-paper-22,95,3.96,105.79,1.11,2.85,1.7,2.84,45.11,20.21,22.52,,,,
u-ch427-n96-start-paper-23,95,4.44,107.46,1.13,2.83,1.93,3.23,44.87,22.91,25.57,,,,
u-ch427-n96-start-paper-24,95,4.39,96.7,1.02,2.29,1.31,2.18,36.31,15.58,17.25,,,,
u-ch427-n96-start-paper2-45,95,7.34,108.46,1.14,3.11,1.31,2.13,49.25,15.53,16.84,,,,
u-ch427-n96-start-paper2-46,95,8.76,100.09,1.05,2.51,1.19,2.04,39.7,14.12,16.18,,,,
u-ch427-n96-start-paper2-47,95,8.04,156.61,1.65,5.28,3.65,5.85,83.65,43.34,46.29,,,,
u-ch427-n96-start-paper2-48,95,8.48,100.45,1.06,2.45,1.45,2.43,38.74,17.21,19.23,,,,
u-ch427-n96-start-paper2-49,95,7.22,88.27,0.93,1.94,0.91,1.36,30.78,10.78,10.77,,,,
u-ch427-n96-start-paper-25,95,5.64,88.14,0.93,1.98,1.67,2.32,31.28,19.89,18.35,,,,
u-ch427-n96-start-paper2-50,95,8.57,157.3,1.66,5.17,2.01,3.09,81.91,23.84,24.45,,,,
u-ch427-n96-start-paper2-51,95,8.54,124.19,1.31,3.23,1.46,2.63,51.13,17.35,20.79,,,,
u-ch427-n96-start-paper2-52,95,8.43,167.63,1.76,6.0,2.58,6.68,95.03,30.6,52.91,,,,
u-ch427-n96-start-paper2-53,95,8.37,148.56,1.56,4.77,2.95,5.35,75.54,35.05,42.39,,,,
u-ch427-n96-start-paper2-54,95,8.23,174.92,1.84,6.08,3.16,5.52,96.33,37.48,43.72,,,,
u-ch427-n96-start-paper2-55,95,9.15,93.06,0.98,2.13,0.85,1.18,33.76,10.1,9.32,,,,
u-ch427-n96-start-paper2-56,95,9.48,168.31,1.77,5.75,3.19,6.24,91.0,37.86,49.37,,,,
u-ch427-n96-start-paper2-57,95,8.1,173.02,1.82,6.22,2.61,6.27,98.54,30.98,49.64,,,,
u-ch427-n96-start-paper2-58,95,8.04,216.45,2.28,8.1,4.16,8.46,128.2,49.42,66.96,,,,
u-ch427-n96-start-paper2-59,95,8.37,200.03,2.11,7.59,3.26,7.56,120.1,38.68,59.87,,,,
u-ch427-n96-start-paper-26,95,3.98,118.94,1.25,3.43,1.98,3.46,54.26,23.48,27.43,,,,
u-ch427-n96-start-paper2-60,95,7.68,210.73,2.22,8.33,3.14,8.39,131.82,37.31,66.39,,,,
u-ch427-n96-start-paper2-61,95,8.14,127.54,1.34,3.76,2.07,3.8,59.58,24.55,30.09,,,,
u-ch427-n96-start-paper2-62,95,7.99,232.51,2.45,9.37,3.64,9.38,148.42,43.21,74.27,,,,
u-ch427-n96-start-paper2-63,95,7.46,349.55,3.68,15.82,5.68,15.39,250.51,67.46,121.84,,,,
u-ch427-n96-start-paper2-64,95,8.37,280.43,2.95,11.43,6.31,12.56,181.03,74.98,99.45,,,,
u-ch427-n96-start-paper2-65,95,7.97,252.37,2.66,10.45,3.78,10.89,165.48,44.89,86.25,,,,
u-ch427-n96-start-paper2-66,95,5.86,280.55,2.95,11.93,4.5,11.67,188.97,53.49,92.39,,,,
u-ch427-n96-start-paper2-67,95,8.0,1764.93,18.58,71.96,32.45,57.05,1139.43,385.35,451.65,,,,
u-ch427-n96-start-paper2-68,95,8.27,324.2,3.41,14.3,5.02,13.92,226.42,59.62,110.22,,,,
u-ch427-n96-start-paper2-69,95,7.42,325.71,3.43,14.23,5.25,13.39,225.23,62.39,106.0,,,,
u-ch427-n96-start-paper-27,95,8.85,123.55,1.3,3.49,2.27,4.32,55.18,27.01,34.16,,,,
u-ch427-n96-start-paper2-70,95,8.92,295.69,3.11,12.28,5.79,13.2,194.45,68.8,104.53,,,,
u-ch427-n96-start-paper2-71,95,9.23,377.48,3.97,17.18,5.88,15.78,271.95,69.77,124.95,,,,
u-ch427-n96-start-paper2-72,95,7.8,384.96,4.05,17.57,6.16,16.32,278.15,73.17,129.22,,,,
u-ch427-n96-start-paper2-73,95,7.36,251.02,2.64,10.26,4.3,11.09,162.47,51.08,87.83,,,,
u-ch427-n96-start-paper2-74,95,8.73,355.39,3.74,15.31,6.77,14.83,242.45,80.36,117.37,,,,
u-ch427-n96-start-paper2-75,95,8.39,396.47,4.17,17.99,6.6,16.62,284.77,78.39,131.59,,,,
u-ch427-n96-start-paper2-76,95,6.94,414.21,4.36,18.62,9.21,17.95,294.86,109.34,142.08,,,,
u-ch427-n96-start-paper2-77,95,4.59,421.51,4.44,19.5,6.93,18.91,308.82,82.25,149.74,,,,
u-ch427-n96-start-paper2-78,95,4.06,449.07,4.73,21.01,7.37,20.35,332.72,87.48,161.09,,,,
u-ch427-n96-start-paper2-79,95,7.88,238.29,2.51,9.3,4.32,9.15,147.32,51.27,72.41,,,,
u-ch427-n96-start-paper-28,95,8.34,125.64,1.32,3.51,2.1,3.15,55.57,24.98,24.93,,,,
u-ch427-n96-start-paper2-80,95,6.35,445.18,4.69,20.95,7.2,20.62,331.7,85.53,163.21,,,,
u-ch427-n96-start-paper2-81,95,7.75,498.47,5.25,23.51,8.02,22.31,372.24,95.2,176.62,,,,
u-ch427-n96-start-paper2-82,95,5.03,471.55,4.96,21.98,9.02,20.87,347.99,107.15,165.21,,,,
u-ch427-n96-start-paper2-83,95,7.37,519.27,5.47,24.68,8.47,23.38,390.77,100.59,185.11,,,,
u-ch427-n96-start-paper2-84,95,3.6,1064.9,11.21,50.93,22.85,51.68,806.34,271.3,409.15,,,,
u-ch427-n96-start-paper2-85,95,13.92,280.52,2.95,11.12,5.66,11.59,176.13,67.2,91.76,,,,
u-ch427-n96-start-paper2-86,95,4.85,525.59,5.53,25.19,9.21,24.36,398.89,109.41,192.88,,,,
u-ch427-n96-start-paper2-87,95,7.33,561.06,5.91,26.73,9.26,25.53,423.19,109.98,202.08,,,,
u-ch427-n96-start-paper2-88,95,6.15,517.54,5.45,23.78,12.31,26.54,376.47,146.15,210.09,,,,
u-ch427-n96-start-paper2-89,95,6.07,569.0,5.99,27.24,9.62,26.76,431.33,114.27,211.83,,,,
u-ch427-n96-start-paper-29,95,7.23,118.43,1.25,3.33,2.23,4.35,52.67,26.53,34.42,,,,
u-ch427-n96-start-paper2-90,95,7.65,555.52,5.85,26.29,8.92,25.75,416.19,105.91,203.84,,,,
u-ch427-n96-start-paper2-91,95,7.58,306.72,3.23,12.67,5.75,12.83,200.54,68.23,101.57,,,,
u-ch427-n96-start-paper2-92,95,5.32,558.68,5.88,26.29,9.65,26.28,416.19,114.65,208.03,,,,
u-ch427-n96-start-paper2-93,95,4.96,621.79,6.55,29.82,10.34,28.87,472.19,122.81,228.52,,,,
u-ch427-n96-start-paper2-94,95,6.07,539.72,5.68,25.27,12.02,26.63,400.12,142.7,210.82,,,,
u-ch427-n96-start-paper2-95,95,4.94,573.47,6.04,27.15,9.98,26.88,429.81,118.55,212.81,,,,
u-ch427-n96-start-paper2-96,95,6.19,622.69,6.55,29.92,10.91,30.04,473.69,129.52,237.81,,,,
u-ch427-n96-start-paper2-97,95,5.46,334.52,3.52,13.94,6.91,15.23,220.76,82.02,120.54,,,,
u-ch427-n96-start-paper2-98,95,6.59,651.55,6.86,31.14,11.0,31.12,493.01,130.57,246.37,,,,
