SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n1280-x5-05,144,462.39,820.69,5.7,5.8,5.49,5.29,139.16,98.85,63.52,,,,
u-ch427-n1280-x5-06,144,497.88,514.5,3.57,3.39,3.13,3.52,81.39,56.27,42.27,,,,
u-ch427-n1280-x5-07,144,479.37,674.98,4.69,4.59,4.87,4.69,110.06,87.74,56.23,,,,
u-ch427-n1280-x5-08,144,460.52,760.08,5.28,5.54,5.61,5.91,132.99,100.95,70.94,,,,
u-ch427-n1280-x5-09,144,485.43,524.94,3.65,3.54,3.3,3.49,84.85,59.32,41.85,,,,
u-ch427-n1280-x5-ms-00,144,496.15,679.3,4.72,4.23,4.03,4.29,101.5,72.53,51.5,,,,
u-ch427-n1280-x5-ms-01,144,502.04,699.08,4.85,4.51,4.79,4.65,108.25,86.18,55.8,,,,
u-ch427-n1280-x5-ms-01-t,144,491.26,654.82,4.55,4.36,4.3,4.3,104.72,77.48,51.64,,,,
u-ch427-n1280-x5-ms-01-tt,144,497.58,567.38,3.94,3.79,3.79,3.79,90.94,68.22,45.47,,,,
u-ch427-n1280-x5-ms-02,144,462.15,839.04,5.83,5.53,5.57,5.88,132.75,100.28,70.53,,,,
u-ch427-n1280-x5-ms-03,144,486.23,696.33,4.84,5.23,4.59,4.73,125.61,82.64,56.8,,,,
u-ch427-n1280-x5-ms-04,144,517.49,731.89,5.08,4.76,4.77,4.64,114.27,85.87,55.63,,,,
u-ch427-n1280-x5-ms-05,144,500.03,651.63,4.53,4.32,4.15,4.05,103.61,74.75,48.59,,,,
u-ch427-n1280-x5-ms-06,144,468.78,691.58,4.8,4.32,5.66,4.6,103.75,101.84,55.22,,,,
u-ch427-n1280-x5-ms-07,144,518.9,634.19,4.4,4.97,4.61,5.85,119.4,82.95,70.14,,,,
u-ch427-n1280-x5-ms-08,144,450.81,815.3,5.66,6.53,5.11,5.32,156.67,92.05,63.79,,,,
u-ch427-n1280-x5-ms-09,144,461.81,775.5,5.39,5.54,6.02,4.85,133.07,108.43,58.2,,,,
u-ch427-n1280-x5-orig-00,144,461.35,789.06,5.48,5.32,5.3,5.18,127.61,95.37,62.14,,,,
u-ch427-n1280-x5-orig-01,144,478.89,673.29,4.68,4.46,4.59,4.6,107.04,82.58,55.17,,,,
u-ch427-n1280-x5-orig-02,144,486.43,521.01,3.62,3.4,3.76,3.51,81.5,67.72,42.11,,,,
u-ch427-n1280-x5-orig-03,144,467.94,1009.32,7.01,6.52,6.58,6.64,156.5,118.37,79.74,,,,
u-ch427-n1280-x5-orig-04,144,487.75,692.88,4.81,5.08,5.27,5.66,121.89,94.83,67.92,,,,
u-ch427-n1280-x5-orig-05,144,485.71,665.92,4.62,4.4,4.38,4.31,105.62,78.88,51.66,,,,
u-ch427-n1280-x5-orig-06,144,484.32,706.88,4.91,4.82,4.71,5.11,115.64,84.84,61.33,,,,
u-ch427-n1280-x5-orig-07,144,453.82,815.3,5.66,5.39,5.63,5.64,129.38,101.43,67.67,,,,
u-ch427-n1280-x5-orig-08,144,490.92,753.51,5.23,4.5,5.4,4.38,107.99,97.28,52.61,,,,
