Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens00,,,
u-ch427-n96-max18-mf-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens01,,,
u-ch427-n96-max18-mf-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens02,,,
u-ch427-n96-max18-mf-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens03,,,
u-ch427-n96-max18-mf-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens04,,,
u-ch427-n96-max18-mf-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens05,,,
u-ch427-n96-max18-mf-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens06,,,
u-ch427-n96-max18-mf-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens07,,,
u-ch427-n96-max18-mf-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens08,,,
u-ch427-n96-max18-mf-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens09,,,
u-ch427-n96-max18-mf-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens10,,,
u-ch427-n96-max18-mf-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens11,,,
u-ch427-n96-max18-mf-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens12,,,
u-ch427-n96-max18-mf-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens13,,,
u-ch427-n96-max18-mf-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens14,,,
u-ch427-n96-max18-mf-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens15,,,
u-ch427-n96-max18-mf-ens15,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens16,,,
u-ch427-n96-max18-mf-ens16,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens17,,,
u-ch427-n96-max18-mf-ens17,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-mf-ens18,,,
u-ch427-n96-max18-mf-ens18,,Total Size,0

