
Total Size,u-ch427-n216-max18-mf-ens07,7,11045895319,10787772

Total Size,u-ch427-n216-max18-mf-ens08,8,12049434775,11767844

Total Size,u-ch427-n216-max18-mf-ens09,9,13052974231,12747836

Total Size,u-ch427-n216-max18-mf-ens10,10,14056513687,13727864

Total Size,u-ch427-n216-max18-mf-ens11,11,15060053143,14707892

Total Size,u-ch427-n216-max18-mf-ens12,12,16063592599,15687920

Total Size,u-ch427-n216-max18-mf-ens13,13,17067132055,16667912

Total Size,u-ch427-n216-max18-mf-ens14,14,18070671511,17647940

Total Size,u-ch427-n216-max18-mf-ens15,15,19074210967,18627968

Total Size,u-ch427-n216-max18-mf-ens16,16,20077750423,19607996

Total Size,u-ch427-n216-max18-mf-ens17,17,21081289879,20587988

Total Size,u-ch427-n216-max18-mf-ens18,18,22084829335,21568016



Total Size,u-ch427-n216-max18-single-ens00,0,0,0

Total Size,u-ch427-n216-max18-single-ens01,1,474848882,463728

Total Size,u-ch427-n216-max18-single-ens02,2,474848882,463728

Total Size,u-ch427-n216-max18-single-ens03,3,474848882,463728

Total Size,u-ch427-n216-max18-single-ens04,4,474848882,463728

Total Size,u-ch427-n216-max18-single-ens05,5,474848882,463728

Total Size,u-ch427-n216-max18-single-ens06,6,474848882,463728

Total Size,u-ch427-n216-max18-single-ens07,7,474848882,463728

Total Size,u-ch427-n216-max18-single-ens08,8,474848882,463728

Total Size,u-ch427-n216-max18-single-ens09,9,474848882,463728

Total Size,u-ch427-n216-max18-single-ens10,10,474848882,463728

Total Size,u-ch427-n216-max18-single-ens11,11,474848882,463728

Total Size,u-ch427-n216-max18-single-ens12,12,474848882,463728

Total Size,u-ch427-n216-max18-single-ens13,13,474848882,463728

Total Size,u-ch427-n216-max18-single-ens14,14,474848882,463728

Total Size,u-ch427-n216-max18-single-ens15,15,474848882,463728

Total Size,u-ch427-n216-max18-single-ens16,16,474848882,463728

Total Size,u-ch427-n216-max18-single-ens17,17,474848882,463728

Total Size,u-ch427-n216-max18-single-ens18,18,474848882,463728



Total Size,u-ch427-n512-max18-ens00,0,0,0

Total Size,u-ch427-n512-max18-ens01,1,1333802827,13025432

Total Size,u-ch427-n512-max18-ens02,2,1600560562,15630488

Total Size,u-ch427-n512-max18-ens03,3,1867318295,18235548

Total Size,u-ch427-n512-max18-ens04,4,2134076030,20840604

Total Size,u-ch427-n512-max18-ens05,5,2400833765,23445656

Total Size,u-ch427-n512-max18-ens06,6,2667591499,26050716

Total Size,u-ch427-n512-max18-ens07,7,2934349234,28655772

Total Size,u-ch427-n512-max18-ens08,8,3201106967,31260828

Total Size,u-ch427-n512-max18-ens09,9,3467865537,33865892

Total Size,u-ch427-n512-max18-ens10,10,3734623272,36470948

Total Size,u-ch427-n512-max18-ens11,11,4001381006,39076004

Total Size,u-ch427-n512-max18-ens12,12,4268138741,41681060

Total Size,u-ch427-n512-max18-ens13,13,4534896475,44286120

Total Size,u-ch427-n512-max18-ens14,14,4801654209,46891172

Total Size,u-ch427-n512-max18-ens15,15,5068411944,49496232

Total Size,u-ch427-n512-max18-ens16,16,5335170096,52101292

Total Size,u-ch427-n512-max18-ens17,17,5601927831,54706344

Total Size,u-ch427-n512-max18-ens18,18,5868685564,57311400



Total Size,u-ch427-n512-max18-mf-ens00,0,0,0

Total Size,u-ch427-n512-max18-mf-ens01,1,28196206779,27536064

Total Size,u-ch427-n512-max18-mf-ens02,2,33833941179,33041664

Total Size,u-ch427-n512-max18-mf-ens03,3,39471675579,38547264

Total Size,u-ch427-n512-max18-mf-ens04,4,45109409979,44052864

Total Size,u-ch427-n512-max18-mf-ens05,5,50747144379,49558464

Total Size,u-ch427-n512-max18-mf-ens06,6,56384878779,55064064

Total Size,u-ch427-n512-max18-mf-ens07,7,62022613179,60569664

Total Size,u-ch427-n512-max18-mf-ens08,8,67660347579,66075264

Total Size,u-ch427-n512-max18-mf-ens09,9,73298081979,71580864

Total Size,u-ch427-n512-max18-mf-ens10,10,78935816379,77086464

Total Size,u-ch427-n512-max18-mf-ens11,11,84573550779,82592064

Total Size,u-ch427-n512-max18-mf-ens12,12,90211285179,88097664

