Suite, Netcdf File, Size, Size (bytes)
, test-m01s03i365-st,  49M ,49260
, test-m01s03i366-st,  49M ,49260
, test-m01s03i367-st,  49M ,49260
, test-m01s03i392-st,  49M ,49196
, test-m01s03i394-st,  49M ,49260
, test-m01s03i395-st,  49M ,49196
, test-m01s03i662-st,  49M ,49196
, test-m01s03i663-st,  49M ,49192
, test-m01s04i203-st,  49M ,49192
, test-m01s04i204-st,  49M ,49196
, test-m01s05i205-st,  49M ,49196
, test-m01s05i206-st,  49M ,49196
, test-m01s05i209-st,  49M ,49204
, test-m01s05i214-st,  49M ,49196
, test-m01s05i215-st,  49M ,49196
, test-m01s05i216-st,  49M ,49196
, test-m01s05i231-st,  49M ,49192
, test-m01s05i232-st,  49M ,49196
, test-m01s05i250-st, 2.5G ,2555956
, test-m01s05i256-st, 2.5G ,2555956
, test-m01s05i257-st, 2.5G ,2555956
, test-m01s05i269-st,  49M ,49192
, test-m01s05i270-st,  49M ,49196
, test-m01s05i272-st,  49M ,49192
, test-m01s05i277-st,  49M ,49196
, test-m01s05i278-st,  49M ,49192
, test-m01s05i279-st,  49M ,49192
, test-m01s05i319-st, 2.5G ,2555956
, test-m01s05i320-st, 2.5G ,2555956
, test-m01s05i322-st, 2.5G ,2555956
, test-m01s05i323-st, 2.5G ,2555956
, test-m01s06i101-st, 3.0G ,3096628
, test-m01s06i102-st, 3.0G ,3100660
, test-m01s06i103-st, 3.0G ,3096628
, test-m01s06i104-st, 3.0G ,3100660
, test-m01s06i105-st, 3.0G ,3096628
, test-m01s06i106-st, 3.0G ,3100660
, test-m01s06i201-st, 4.0G ,4177972
, test-m01s06i207-st, 4.0G ,4177972
, test-m01s06i208-st, 4.0G ,4183412
, test-m01s06i223-st, 4.0G ,4177972
, test-m01s06i224-st, 4.0G ,4183412
, test-m01s08i023-st,  49M ,49192
, test-m01s08i208-st,  49M ,49196
, test-m01s08i209-st,  49M ,49192
, test-m01s08i223-st, 193M ,196660
, test-m01s08i225-st, 193M ,196660
, test-m01s08i229-st, 193M ,196660
, test-m01s08i230-st, 193M ,196660
, test-m01s08i231-st,  49M ,49196
, test-m01s08i233-st,  49M ,49196
, test-m01s08i234-st,  49M ,49196
, test-m01s08i235-st,  49M ,49196
, test-m01s15i214-st,  49M ,49268
, test-m01s15i215-st,  49M ,49256
, test-m01s16i202-st,  49M ,49204
, test-m01s16i222-st,  49M ,49196
, test-m01s30i112-st, 4.0G ,4177972
, test-m01s30i114-st, 4.0G ,4177972
, test-m01s30i201_3-,  49M ,49268
, test-m01s30i201_4-,  97M ,98484
, test-m01s30i201_5-, 337M ,344564
, test-m01s30i201-st, 818M ,836724
, test-m01s30i202_3-,  49M ,49268
, test-m01s30i202_4-,  97M ,98484
, test-m01s30i202_5-, 337M ,344564
, test-m01s30i202-st, 818M ,836724
, test-m01s30i203_2-, 385M ,393780
, test-m01s30i203-st, 818M ,836724
, test-m01s30i204_3-, 529M ,541428
, test-m01s30i204-st, 818M ,836724
, test-m01s30i205_3-, 337M ,344564
, test-m01s30i205-st, 818M ,836724
, test-m01s30i206-st, 818M ,836724
, test-m01s30i207_3-, 433M ,442996
, test-m01s30i207-st, 818M ,836724
, test-m01s30i208-st, 818M ,836724
, test-m01s30i211-st, 818M ,836724
, test-m01s30i212-st, 818M ,836724
, test-m01s30i214-st, 818M ,836724
, test-m01s30i215-st, 818M ,836724
, test-m01s30i218-st, 818M ,836724
, test-m01s30i222-st, 818M ,836724
, test-m01s30i224-st, 818M ,836724
, test-m01s30i225-st, 818M ,836724
, test-m01s30i228-st, 818M ,836724
, test-m01s30i234-st, 818M ,836724
, test-m01s30i235-st, 818M ,836724
, test-m01s30i244-st, 818M ,836724
, test-m01s30i248-st, 818M ,836724
, test-m01s30i258-st, 818M ,836724
, test-m01s30i288-st, 818M ,836724
, test-m01s30i301_3-, 289M ,295348
, test-m01s30i301_4-, 337M ,344564
, test-m01s30i301_5-,  97M ,98484
, test-m01s30i301-st, 818M ,836724
, test-m01s30i402-st,  49M ,49196
, test-m01s30i403-st,  49M ,49196
, test-m01s30i404-st,  49M ,49196
, test-m01s30i405-st,  49M ,49196
, test-m01s30i406-st,  49M ,49196
, test-m01s30i407-st,  49M ,49196
, test-m01s30i408-st,  49M ,49196
, test-m01s30i419-st,  49M ,49196
, test-m01s30i420-st,  49M ,49196
, test-m01s30i421-st,  49M ,49192
, test-m01s30i428-st,  49M ,49192
, test-m01s30i429-st,  49M ,49196
, test-m01s30i431-st,  49M ,49196
u-ch427-n512-max18-stdev-ens12,,Total Size,170678660

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens13, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens13,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens14, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens14,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens15, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens15,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens16, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens16,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens17, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens17,,Total Size,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens18, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens18,,Total Size,2605148

