Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-mf-ens00,,,,
u-ch427-n512-max18-mf-ens00,,Total Size,0,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-mf-ens01, test-m01s00i023.nc, 241M , 251725608 ,245832
, test-m01s00i024.nc, 241M , 251725372 ,245832
, test-m01s00i025.nc, 241M , 251725387 ,245832
, test-m01s00i028.nc, 241M , 251725682 ,245832
, test-m01s00i029.nc, 241M , 252053107 ,246152
, test-m01s00i030.nc, 241M , 251725625 ,245832
, test-m01s00i031.nc, 241M , 251725378 ,245832
, test-m01s00i032.nc, 241M , 251725671 ,245832
, test-m01s00i033.nc, 241M , 251725610 ,245832
, test-m01s00i409.nc, 241M , 251725630 ,245832
, test-m01s00i507.nc, 241M , 251725677 ,245832
, test-m01s00i508.nc, 241M , 251725339 ,245832
, test-m01s00i509.nc, 241M , 251725653 ,245832
, test-m01s01i201.nc, 241M , 251725682 ,245832
, test-m01s01i203.nc, 241M , 251725682 ,245832
, test-m01s01i207.nc, 241M , 251725673 ,245832
, test-m01s01i208.nc, 241M , 251725213 ,245832
, test-m01s01i209.nc, 241M , 251725430 ,245832
, test-m01s01i210.nc, 241M , 251725482 ,245832
, test-m01s01i211.nc, 241M , 251725303 ,245832
, test-m01s01i235.nc, 241M , 251725682 ,245832
, test-m01s01i245.nc, 241M , 251725400 ,245832
, test-m01s01i246.nc, 241M , 251725387 ,245832
, test-m01s01i254.nc, 241M , 251725399 ,245832
, test-m01s01i255.nc, 241M , 251725385 ,245832
, test-m01s01i260.nc, 241M , 251725388 ,245832
, test-m01s01i280.nc, 241M , 251725400 ,245832
, test-m01s01i281.nc, 241M , 251725386 ,245832
, test-m01s01i298.nc, 241M , 251725381 ,245832
, test-m01s01i299.nc, 241M , 251725383 ,245832
, test-m01s02i201.nc, 241M , 251725673 ,245832
, test-m01s02i203.nc, 241M , 251725681 ,245832
, test-m01s02i204.nc, 241M , 251725372 ,245832
, test-m01s02i205.nc, 241M , 251725212 ,245832
, test-m01s02i206.nc, 241M , 251725429 ,245832
, test-m01s02i207.nc, 241M , 251725680 ,245832
, test-m01s02i208.nc, 241M , 251725481 ,245832
, test-m01s03i201.nc, 241M , 251725676 ,245832
, test-m01s03i217.nc, 241M , 251725680 ,245832
, test-m01s03i223.nc, 241M , 251725690 ,245832
, test-m01s03i224.nc, 241M , 251725425 ,245832
, test-m01s03i225.nc, 241M , 252053352 ,246152
, test-m01s03i226.nc, 241M , 252053353 ,246152
, test-m01s03i227.nc, 241M , 252053305 ,246152
, test-m01s03i228.nc, 241M , 251725680 ,245832
, test-m01s03i231.nc, 241M , 251725391 ,245832
, test-m01s03i232.nc, 241M , 251725403 ,245832
, test-m01s03i234.nc, 241M , 251725678 ,245832
, test-m01s03i235.nc, 241M , 251725388 ,245832
, test-m01s03i236.nc, 241M , 251725650 ,245832
, test-m01s03i237.nc, 241M , 251725610 ,245832
, test-m01s03i245.nc, 241M , 251725609 ,245832
, test-m01s03i258.nc, 241M , 251725674 ,245832
, test-m01s03i261.nc, 241M , 251725433 ,245832
, test-m01s03i293.nc, 241M , 251725693 ,245832
, test-m01s03i296.nc, 241M , 251725697 ,245832
, test-m01s03i297.nc, 241M , 251725699 ,245832
, test-m01s03i298.nc, 241M , 251725685 ,245832
, test-m01s03i304.nc, 241M , 251725373 ,245832
, test-m01s03i305.nc, 241M , 251725615 ,245832
, test-m01s03i306.nc, 241M , 251725373 ,245832
, test-m01s03i307.nc, 241M , 251725623 ,245832
, test-m01s03i308.nc, 241M , 251725376 ,245832
, test-m01s03i309.nc, 241M , 251725364 ,245832
, test-m01s03i310.nc, 241M , 251725349 ,245832
, test-m01s03i332.nc, 241M , 251725670 ,245832
, test-m01s03i340.nc, 241M , 251725358 ,245832
, test-m01s03i353.nc, 241M , 251725403 ,245832
, test-m01s03i365.nc, 241M , 252053069 ,246152
, test-m01s03i366.nc, 241M , 252053069 ,246152
, test-m01s03i367.nc, 241M , 252053066 ,246152
, test-m01s03i392.nc, 241M , 251725381 ,245832
, test-m01s03i394.nc, 241M , 252053068 ,246152
, test-m01s03i395.nc, 241M , 251725650 ,245832
, test-m01s03i662.nc, 241M , 251725400 ,245832
, test-m01s03i663.nc, 241M , 251725400 ,245832
, test-m01s04i203.nc, 241M , 251725689 ,245832
, test-m01s04i204.nc, 241M , 251725689 ,245832
, test-m01s05i205.nc, 241M , 251725689 ,245832
, test-m01s05i206.nc, 241M , 251725689 ,245832
, test-m01s05i214.nc, 241M , 251725618 ,245832
, test-m01s05i215.nc, 241M , 251725618 ,245832
, test-m01s05i216.nc, 241M , 251725623 ,245832
, test-m01s05i231.nc, 241M , 251725376 ,245832
, test-m01s05i232.nc, 241M , 251725364 ,245832
, test-m01s05i269.nc, 241M , 251725627 ,245832
, test-m01s05i270.nc, 241M , 251725352 ,245832
, test-m01s05i272.nc, 241M , 251725358 ,245832
, test-m01s05i277.nc, 241M , 251725403 ,245832
, test-m01s05i278.nc, 241M , 251725403 ,245832
, test-m01s05i279.nc, 241M , 251725403 ,245832
, test-m01s08i023.nc, 241M , 251725612 ,245832
, test-m01s08i208.nc, 241M , 251725663 ,245832
, test-m01s08i209.nc, 241M , 251725660 ,245832
, test-m01s08i231.nc, 241M , 251725687 ,245832
, test-m01s08i233.nc, 241M , 251725688 ,245832
, test-m01s08i234.nc, 241M , 251725624 ,245832
, test-m01s08i235.nc, 241M , 251725687 ,245832
, test-m01s15i215.nc, 241M , 252053262 ,246152
, test-m01s16i222.nc, 241M , 251725581 ,245832
, test-m01s30i402.nc, 241M , 251725397 ,245832
, test-m01s30i403.nc, 241M , 251725376 ,245832
, test-m01s30i404.nc, 241M , 251725673 ,245832
, test-m01s30i405.nc, 241M , 251725676 ,245832
, test-m01s30i406.nc, 241M , 251725217 ,245832
, test-m01s30i407.nc, 241M , 251725400 ,245832
, test-m01s30i408.nc, 241M , 251725400 ,245832
, test-m01s30i419.nc, 241M , 251725379 ,245832
, test-m01s30i420.nc, 241M , 251725398 ,245832
, test-m01s30i421.nc, 241M , 251725397 ,245832
, test-m01s30i428.nc, 241M , 251725400 ,245832
, test-m01s30i429.nc, 241M , 251725400 ,245832
u-ch427-n512-max18-mf-ens01,,Total Size,28196206779,27536064

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-mf-ens02, test-m01s00i023.nc, 289M , 302057256 ,294984
, test-m01s00i024.nc, 289M , 302057020 ,294984
, test-m01s00i025.nc, 289M , 302057035 ,294984
, test-m01s00i028.nc, 289M , 302057330 ,294984
, test-m01s00i029.nc, 289M , 302450291 ,295368
, test-m01s00i030.nc, 289M , 302057273 ,294984
, test-m01s00i031.nc, 289M , 302057026 ,294984
, test-m01s00i032.nc, 289M , 302057319 ,294984
, test-m01s00i033.nc, 289M , 302057258 ,294984
, test-m01s00i409.nc, 289M , 302057278 ,294984
, test-m01s00i507.nc, 289M , 302057325 ,294984
, test-m01s00i508.nc, 289M , 302056987 ,294984
, test-m01s00i509.nc, 289M , 302057301 ,294984
, test-m01s01i201.nc, 289M , 302057330 ,294984
, test-m01s01i203.nc, 289M , 302057330 ,294984
, test-m01s01i207.nc, 289M , 302057321 ,294984
, test-m01s01i208.nc, 289M , 302056861 ,294984
, test-m01s01i209.nc, 289M , 302057078 ,294984
, test-m01s01i210.nc, 289M , 302057130 ,294984
, test-m01s01i211.nc, 289M , 302056951 ,294984
, test-m01s01i235.nc, 289M , 302057330 ,294984
, test-m01s01i245.nc, 289M , 302057048 ,294984
, test-m01s01i246.nc, 289M , 302057035 ,294984
, test-m01s01i254.nc, 289M , 302057047 ,294984
, test-m01s01i255.nc, 289M , 302057033 ,294984
, test-m01s01i260.nc, 289M , 302057036 ,294984
, test-m01s01i280.nc, 289M , 302057048 ,294984
, test-m01s01i281.nc, 289M , 302057034 ,294984
, test-m01s01i298.nc, 289M , 302057029 ,294984
, test-m01s01i299.nc, 289M , 302057031 ,294984
, test-m01s02i201.nc, 289M , 302057321 ,294984
, test-m01s02i203.nc, 289M , 302057329 ,294984
, test-m01s02i204.nc, 289M , 302057020 ,294984
, test-m01s02i205.nc, 289M , 302056860 ,294984
, test-m01s02i206.nc, 289M , 302057077 ,294984
, test-m01s02i207.nc, 289M , 302057328 ,294984
, test-m01s02i208.nc, 289M , 302057129 ,294984
, test-m01s03i201.nc, 289M , 302057324 ,294984
, test-m01s03i217.nc, 289M , 302057328 ,294984
, test-m01s03i223.nc, 289M , 302057338 ,294984
, test-m01s03i224.nc, 289M , 302057073 ,294984
, test-m01s03i225.nc, 289M , 302450536 ,295368
, test-m01s03i226.nc, 289M , 302450537 ,295368
, test-m01s03i227.nc, 289M , 302450489 ,295368
, test-m01s03i228.nc, 289M , 302057328 ,294984
, test-m01s03i231.nc, 289M , 302057039 ,294984
, test-m01s03i232.nc, 289M , 302057051 ,294984
, test-m01s03i234.nc, 289M , 302057326 ,294984
, test-m01s03i235.nc, 289M , 302057036 ,294984
, test-m01s03i236.nc, 289M , 302057298 ,294984
, test-m01s03i237.nc, 289M , 302057258 ,294984
, test-m01s03i245.nc, 289M , 302057257 ,294984
, test-m01s03i258.nc, 289M , 302057322 ,294984
, test-m01s03i261.nc, 289M , 302057081 ,294984
, test-m01s03i293.nc, 289M , 302057341 ,294984
, test-m01s03i296.nc, 289M , 302057345 ,294984
, test-m01s03i297.nc, 289M , 302057347 ,294984
, test-m01s03i298.nc, 289M , 302057333 ,294984
, test-m01s03i304.nc, 289M , 302057021 ,294984
, test-m01s03i305.nc, 289M , 302057263 ,294984
, test-m01s03i306.nc, 289M , 302057021 ,294984
, test-m01s03i307.nc, 289M , 302057271 ,294984
, test-m01s03i308.nc, 289M , 302057024 ,294984
, test-m01s03i309.nc, 289M , 302057012 ,294984
, test-m01s03i310.nc, 289M , 302056997 ,294984
, test-m01s03i332.nc, 289M , 302057318 ,294984
, test-m01s03i340.nc, 289M , 302057006 ,294984
, test-m01s03i353.nc, 289M , 302057051 ,294984
, test-m01s03i365.nc, 289M , 302450253 ,295368
, test-m01s03i366.nc, 289M , 302450253 ,295368
, test-m01s03i367.nc, 289M , 302450250 ,295368
, test-m01s03i392.nc, 289M , 302057029 ,294984
, test-m01s03i394.nc, 289M , 302450252 ,295368
, test-m01s03i395.nc, 289M , 302057298 ,294984
, test-m01s03i662.nc, 289M , 302057048 ,294984
, test-m01s03i663.nc, 289M , 302057048 ,294984
, test-m01s04i203.nc, 289M , 302057337 ,294984
, test-m01s04i204.nc, 289M , 302057337 ,294984
, test-m01s05i205.nc, 289M , 302057337 ,294984
, test-m01s05i206.nc, 289M , 302057337 ,294984
, test-m01s05i214.nc, 289M , 302057266 ,294984
, test-m01s05i215.nc, 289M , 302057266 ,294984
, test-m01s05i216.nc, 289M , 302057271 ,294984
, test-m01s05i231.nc, 289M , 302057024 ,294984
, test-m01s05i232.nc, 289M , 302057012 ,294984
, test-m01s05i269.nc, 289M , 302057275 ,294984
, test-m01s05i270.nc, 289M , 302057000 ,294984
, test-m01s05i272.nc, 289M , 302057006 ,294984
, test-m01s05i277.nc, 289M , 302057051 ,294984
, test-m01s05i278.nc, 289M , 302057051 ,294984
, test-m01s05i279.nc, 289M , 302057051 ,294984
