SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-20, 318.057 ,118.28,,,20,,288,2022-06-22T13:20:49Z,2022-06-22T15:03:46Z,2022-06-22T15:13:00Z,SUCCEEDED,1893954,254779,2.454
u-ch427-n216-start-paper-x0-21,,,,,21,,302,2022-06-22T16:51:40Z,2022-06-22T23:12:55Z,,,1895539,155375,
u-ch427-n216-start-paper-x0-22,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-23,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-24,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-25, 335.496 ,110.12,,,25,,358,2022-06-22T16:56:46Z,2022-06-22T21:13:11Z,2022-06-22T21:23:57Z,SUCCEEDED,1895561,152231,9.841
u-ch427-n216-start-paper-x0-26,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-27,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-28,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-29,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-30,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-50, 866.504 ,186.36,,,50,,708,2022-06-15T16:48:11Z,2022-06-16T03:19:29Z,2022-06-16T03:43:33Z,SUCCEEDED,1827271,190169,11.189
u-ch427-n216-start-paper-x0-prec-00, 157.892 ,47.93,,,2,,36,2022-06-18T18:07:47Z,2022-06-18T20:32:06Z,2022-06-18T20:35:37Z,SUCCEEDED,1864264,86513,1.123
u-ch427-n216-template-start-00, 143.368 ,49.85,,,1,,22,2022-02-14T20:27:09Z,2022-02-14T20:29:41Z,2022-02-14T20:32:24Z,SUCCEEDED,1116068,261759,1.486
u-ch427-n216-template-start-all, 270.224 ,49.88,,,1,,22,2022-02-19T01:35:30Z,2022-02-19T01:35:37Z,2022-02-19T01:41:28Z,SUCCEEDED,1135258,89783,23.174
u-ch427-n216-template-start-all2, 220.823 ,48.69,,,1,,22,2022-02-25T17:23:03Z,2022-02-25T17:23:49Z,2022-02-25T17:27:58Z,SUCCEEDED,1160062,209478,11.635
u-ch427-n216-template-start-paper, 153.971 ,44.88,,,2,,36,2022-06-20T22:52:53Z,2022-06-20T23:04:27Z,2022-06-20T23:07:42Z,SUCCEEDED,1878915,161670,1.110
u-ch427-n216-template-start-paper-00, 155.401 ,46.66,,,2,,36,2022-06-13T18:08:44Z,2022-06-13T18:59:49Z,2022-06-13T19:03:52Z,SUCCEEDED,1814959,143356,1.114
u-ch427-n216-template-start-paper-ms, 180.618 ,59.89,,,2,,36,2022-06-20T22:53:46Z,2022-06-20T23:23:12Z,2022-06-20T23:26:59Z,SUCCEEDED,1878932,260498,1.222
u-ch427-n216-template-start-paper-ms-00, 163.363 ,47.15,,,2,,36,2022-06-18T01:10:08Z,2022-06-18T01:11:05Z,2022-06-18T01:14:36Z,SUCCEEDED,1846939,55510,1.249
u-ch427-n216-template-start-paper-prec, 171.526 ,57.59,,,2,,36,2022-06-20T22:53:25Z,2022-06-20T23:23:12Z,2022-06-20T23:26:48Z,SUCCEEDED,1878921,3429,1.191
u-ch427-n216-template-start-paper-prec-00, 151.111 ,43.82,,,2,,36,2022-06-18T14:11:10Z,2022-06-18T15:58:39Z,2022-06-18T16:01:53Z,SUCCEEDED,1859846,7575,1.120
u-ch427-n216-template-start-paper-x0, 154.369 ,45.18,,,2,,36,2022-06-20T22:53:00Z,2022-06-20T23:11:16Z,2022-06-20T23:14:44Z,SUCCEEDED,1878917,188370,1.112
u-ch427-n216-template-start-paper-x-00, 133.124 ,45.33,,,2,,36,2022-06-14T23:41:59Z,2022-06-14T23:42:50Z,2022-06-14T23:45:43Z,SUCCEEDED,1821948,15311,0.866
u-ch427-n216-template-start-paper-x0-00, 168.931 ,45.72,,,2,,36,2022-06-15T00:36:59Z,2022-06-15T02:31:26Z,2022-06-15T02:35:38Z,SUCCEEDED,1822192,187410,1.113
u-ch427-n216-template-start-paper-x0-prec, 171.353 ,59.80,,,2,,36,2022-06-20T22:53:38Z,2022-06-20T23:23:12Z,2022-06-20T23:26:57Z,SUCCEEDED,1878926,37003,1.245
u-ch427-n216-template-start-paper-x0-prec-00, 153.030 ,45.11,,,2,,36,2022-06-18T12:44:42Z,2022-06-18T13:00:30Z,2022-06-18T13:03:54Z,SUCCEEDED,1858027,84518,1.116
u-ch427-n216-template-start-paper-x5, 168.976 ,58.00,,,2,,36,2022-06-20T22:53:14Z,2022-06-20T23:23:12Z,2022-06-20T23:26:56Z,SUCCEEDED,1878920,194028,1.111
u-ch427-n216-template-start-paper-x5-00, 156.413 ,44.76,,,2,,36,2022-06-18T17:11:34Z,2022-06-18T17:42:24Z,2022-06-18T17:45:56Z,SUCCEEDED,1863323,256558,1.214
u-ch427-n512-ens00, 4684.451 ,89.76,,,0,512,38,2021-12-31T07:07:27Z,2021-12-31T08:48:22Z,2021-12-31T10:06:48Z,SUCCEEDED,931658,163263,31.844
u-ch427-n512-ens01, 5156.503 ,94.38,,,1,512,38,2021-12-31T07:07:49Z,2021-12-31T10:18:24Z,2021-12-31T11:45:03Z,SUCCEEDED,931660,31306,35.428
u-ch427-n512-ens02, 5254.217 ,129.64,,,2,512,68,2021-12-31T07:07:54Z,2021-12-31T08:48:22Z,2021-12-31T10:16:44Z,SUCCEEDED,931661,221317,35.151
u-ch427-n512-ens03, 5300.991 ,161.24,,,3,512,98,2021-12-31T07:13:01Z,2022-01-01T16:29:11Z,2022-01-01T17:58:25Z,SUCCEEDED,931681,58649,34.391
u-ch427-n512-ens04, 5306.150 ,171.25,,,4,512,128,2022-01-02T07:05:02Z,2022-01-02T13:53:23Z,2022-01-02T15:23:01Z,SUCCEEDED,934876,215513,34.712
u-ch427-n512-ens06, 5302.987 ,207.32,,,6,512,188,2022-01-02T07:10:08Z,2022-01-02T13:53:23Z,2022-01-02T15:23:25Z,SUCCEEDED,934880,52294,34.144
u-ch427-n512-ens08, 5617.466 ,224.10,,,8,512,248,2022-01-02T07:10:24Z,2022-01-02T09:53:26Z,2022-01-02T11:28:50Z,SUCCEEDED,934882,236588,36.531
u-ch427-n512-ens09, 5668.019 ,250.95,,,9,512,278,2022-01-02T07:40:43Z,2022-01-02T14:09:21Z,2022-01-02T15:46:14Z,SUCCEEDED,934916,38582,36.271
u-ch427-n512-ens20,,,,,20,512,608,2022-01-02T07:47:00Z,,,,934939,,
u-ch427-n512-ens21, 5862.071 ,424.78,,,21,512,638,2022-01-02T07:47:08Z,2022-01-04T13:21:23Z,2022-01-04T15:04:39Z,SUCCEEDED,934943,140751,36.608
u-ch427-n512-ens22,,,,,22,512,668,2022-01-02T07:47:38Z,2022-01-03T02:39:18Z,2022-01-03T02:52:30Z,E,934947,47810,
u-ch427-n512-ens23, 5950.790 ,447.31,,,23,512,698,2022-01-02T07:47:06Z,2022-01-02T12:07:23Z,2022-01-02T13:52:28Z,SUCCEEDED,934942,139612,37.160
u-ch427-n512-ens24,,,,,24,512,728,2022-01-02T07:48:35Z,2022-01-03T02:52:59Z,2022-01-03T03:07:07Z,E,934948,108431,
u-ch427-n512-ens25, 6142.064 ,478.87,,,25,512,758,2022-01-02T07:53:44Z,2022-01-04T04:33:23Z,2022-01-04T06:21:49Z,SUCCEEDED,934953,58067,37.704
u-ch427-n512-ens26,,,,,26,512,788,2022-01-02T07:53:55Z,2022-01-04T04:23:56Z,2022-01-04T04:32:32Z,E,934954,53340,
u-ch427-n512-ens27,,,,,,512,,,,,,,,
u-ch427-n512-ens28,,,,,28,512,848,2022-01-02T07:01:16Z,2022-01-04T04:10:38Z,2022-01-04T04:23:12Z,E,934862,253721,
u-ch427-n512-ens29,,,,,29,512,878,2022-01-02T07:01:33Z,2022-01-04T03:50:58Z,2022-01-04T03:56:23Z,E,934864,188933,
u-ch427-n512-ens30,,,,,30,512,908,2022-01-02T07:01:37Z,2022-01-04T01:17:54Z,2022-01-04T01:34:36Z,E,934865,14655,
u-ch427-n512-ens31,,,,,31,512,938,2022-01-02T07:04:05Z,2022-01-04T08:33:51Z,2022-01-04T08:45:54Z,E,934875,209125,
u-ch427-n512-ens32,,,,,32,512,968,2022-01-02T07:46:31Z,2022-01-04T13:19:22Z,2022-01-04T13:20:00Z,E,934937,121273,
u-ch427-n512-ens33,,,,,33,512,998,2022-01-02T07:47:03Z,2022-01-04T13:17:22Z,2022-01-04T13:17:56Z,E,934940,117614,
u-ch427-n512-ens34,,,,,34,512,1028,2021-12-31T07:11:22Z,2022-01-02T11:51:06Z,2022-01-02T11:57:13Z,E,931678,133059,
u-ch427-n512-ens35, 6794.410 ,718.24,,,35,512,1058,2022-01-02T02:44:43Z,2022-01-02T23:52:46Z,2022-01-03T01:53:46Z,SUCCEEDED,934675,88101,40.147
u-ch427-n512-start-paper-00, 4690.243 ,91.42,,,0,,45,2022-06-14T14:14:46Z,2022-06-14T14:15:09Z,2022-06-14T15:33:41Z,SUCCEEDED,1819620,120611,32.236
u-ch427-n512-start-paper-01, 5433.672 ,105.66,,,1,,45,2022-06-22T00:33:18Z,2022-06-22T00:54:10Z,2022-06-22T02:25:29Z,SUCCEEDED,1890934,110306,37.143
u-ch427-n512-start-paper-02, 5451.687 ,118.62,,,2,,75,2022-06-22T00:33:37Z,2022-06-22T01:22:51Z,2022-06-22T02:54:34Z,SUCCEEDED,1890941,84415,47.437
u-ch427-n512-start-paper-03, 5398.747 ,127.50,,,3,,105,2022-06-22T00:34:02Z,2022-06-22T01:14:13Z,2022-06-22T02:45:08Z,SUCCEEDED,1890947,202951,43.418
u-ch427-n512-start-paper-04, 5467.031 ,140.22,,,4,,135,2022-06-22T00:34:20Z,2022-06-22T07:15:17Z,2022-06-22T08:47:43Z,SUCCEEDED,1890950,85902,36.872
u-ch427-n512-start-paper-05, 5694.591 ,155.88,,,5,,165,2022-06-22T00:34:46Z,2022-06-22T09:22:33Z,2022-06-22T10:58:52Z,SUCCEEDED,1890956,230604,38.510
u-ch427-n512-start-paper-06, 5704.494 ,158.26,,,6,,195,2022-06-22T00:35:10Z,2022-06-22T01:48:13Z,2022-06-22T03:25:04Z,SUCCEEDED,1890963,44430,38.298
u-ch427-n512-start-paper-07,,,,,7,,225,,,,,,,
u-ch427-n512-start-paper-08, 5595.767 ,180.63,,,8,,255,2022-06-22T00:36:27Z,2022-06-22T01:56:49Z,2022-06-22T03:32:20Z,SUCCEEDED,1890979,117230,43.565
u-ch427-n512-start-paper-09, 5720.803 ,196.28,,,9,,285,2022-06-22T00:37:02Z,2022-06-22T16:03:41Z,2022-06-22T17:41:42Z,SUCCEEDED,1890982,100329,65.544
u-ch427-n512-start-paper-10, 5733.107 ,202.83,,,10,,315,2022-06-22T00:37:41Z,2022-06-22T02:07:25Z,2022-06-22T03:45:39Z,SUCCEEDED,1890990,153894,44.840
u-ch427-n512-start-paper-11, 5722.088 ,219.05,,,11,,345,2022-06-22T00:37:54Z,2022-06-22T13:35:37Z,2022-06-22T15:13:48Z,SUCCEEDED,1890992,125706,41.312
u-ch427-n512-start-paper-12, 5756.058 ,231.48,,,12,,375,2022-06-22T00:38:07Z,2022-06-22T11:55:24Z,2022-06-22T13:34:34Z,SUCCEEDED,1890994,54074,74.445
u-ch427-n512-start-paper-13, 5859.400 ,239.82,,,13,,405,2022-06-22T00:38:34Z,2022-06-22T13:20:25Z,2022-06-22T15:01:42Z,SUCCEEDED,1890996,178886,85.298
u-ch427-n512-start-paper-14, 5943.774 ,267.57,,,14,,435,2022-06-22T00:38:57Z,2022-06-22T11:30:53Z,2022-06-22T13:13:39Z,SUCCEEDED,1890997,104389,90.598
u-ch427-n512-start-paper-15,,,,,15,,465,,,,,,,33.304
u-ch427-n512-start-paper-16, 5805.200 ,273.18,,,16,,495,2022-06-22T00:39:57Z,2022-06-22T08:48:04Z,2022-06-22T10:29:02Z,SUCCEEDED,1891001,62637,72.030
u-ch427-n512-start-paper-17,,,,,17,,525,2022-06-22T04:51:48Z,,,,1891372,,
u-ch427-n512-start-paper-18,,,,,18,,555,2022-06-22T04:52:23Z,,,,1891374,,
u-ch427-n512-start-paper-19,,,,,19,,585,2022-06-22T04:52:53Z,,,,1891375,,
u-ch427-n512-start-paper-20,,,,,20,,615,2022-06-22T07:53:44Z,,,,1891967,,
u-ch427-n512-start-paper-21,,,,,21,,645,2022-06-22T07:54:10Z,,,,1891970,,
u-ch427-n512-start-paper-22,,,,,22,,675,2022-06-22T10:54:37Z,,,,1892993,,
u-ch427-n512-start-paper-23,,,,,23,,705,2022-06-22T10:55:06Z,,,,1892998,,
u-ch427-n512-start-paper-24,,,,,24,,735,2022-06-22T23:13:56Z,,,,1897457,,
u-ch427-n512-start-paper-25,,,,,25,,765,2022-06-22T23:13:43Z,,,,1897456,,
u-ch427-n512-start-paper-26,,,,,26,,795,2022-06-22T18:46:53Z,,,,1896192,,
u-ch427-n512-start-paper-27,,,,,27,,825,2022-06-22T18:46:45Z,,,,1896191,,
u-ch427-n512-start-paper-28,,,,,28,,855,2022-06-22T18:47:00Z,,,,1896193,,
u-ch427-n512-start-paper-29,,,,,29,,885,2022-06-22T23:13:38Z,,,,1897450,,
u-ch427-n512-start-paper-30,,,,,30,,915,2022-06-22T10:59:07Z,,,,1893024,,
u-ch427-n512-start-paper-ms-00, 5831.572 ,120.86,,,2,,75,2022-06-18T18:19:15Z,2022-06-18T22:28:18Z,2022-06-19T00:06:29Z,SUCCEEDED,1864468,252286,41.724
u-ch427-n512-start-paper-prec-00, 5412.742 ,117.52,,,2,,75,2022-06-18T18:07:35Z,2022-06-18T20:58:00Z,2022-06-18T22:29:03Z,SUCCEEDED,1864260,199597,37.511
u-ch427-n512-start-paper-x0-00, 4922.026 ,91.85,,,0,,45,2022-06-15T14:39:39Z,2022-06-15T14:46:03Z,2022-06-15T16:08:25Z,SUCCEEDED,1826303,49742,34.040
u-ch427-n512-start-paper-x0-01, 5559.363 ,107.37,,,1,,45,2022-06-22T02:29:42Z,2022-06-22T05:43:51Z,2022-06-22T07:18:04Z,SUCCEEDED,1891208,122633,43.956
u-ch427-n512-start-paper-x0-02, 5530.292 ,120.87,,,2,,75,2022-06-22T03:00:13Z,2022-06-22T06:12:37Z,2022-06-22T07:46:21Z,SUCCEEDED,1891249,217930,52.146
u-ch427-n512-start-paper-x0-03, 5542.411 ,130.27,,,3,,105,2022-06-22T03:01:02Z,2022-06-22T06:57:15Z,2022-06-22T08:31:17Z,SUCCEEDED,1891253,142109,52.579
u-ch427-n512-start-paper-x0-04, 5504.882 ,142.46,,,4,,135,2022-06-22T09:01:31Z,2022-06-22T14:32:44Z,2022-06-22T16:06:28Z,SUCCEEDED,1892255,19968,39.176
u-ch427-n512-start-paper-x0-05, 5561.103 ,148.18,,,5,,165,2022-06-22T09:02:14Z,2022-06-22T20:52:06Z,2022-06-22T22:27:11Z,SUCCEEDED,1892257,27484,48.304
u-ch427-n512-start-paper-x0-06, 5652.867 ,171.19,,,6,,195,2022-06-22T09:02:53Z,2022-06-22T12:31:13Z,2022-06-22T14:07:57Z,SUCCEEDED,1892262,58466,56.625
u-ch427-n512-start-paper-x0-07,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-08,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-09,,,,,9,,285,2022-06-22T15:06:16Z,,,,1894686,,
u-ch427-n512-start-paper-x0-10,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-11, 5860.848 ,205.97,,,11,,345,2022-06-22T15:08:30Z,2022-06-22T21:27:20Z,2022-06-22T23:08:29Z,SUCCEEDED,1894699,81796,42.667
u-ch427-n512-start-paper-x0-12,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-13,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-14,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-15,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-16,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-17,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-18,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-19,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-20,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-21,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-22,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-23,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-24,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-25,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-26,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-27,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-28,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-29,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-30,,,,,,,,,,,,,,
u-ch427-n512-start-paper-x0-prec-00, 5442.603 ,119.77,,,2,,75,2022-06-18T18:10:51Z,2022-06-18T22:21:19Z,2022-06-18T23:53:07Z,SUCCEEDED,1864335,121639,52.997
u-ch427-n512-template-start-00, 4979.903 ,135.44,,,1,,38,2022-02-14T20:27:16Z,2022-02-14T20:34:03Z,2022-02-14T21:58:00Z,SUCCEEDED,1116069,151352,33.475
u-ch427-n512-template-start-all, 5066.279 ,137.82,,,1,,38,2022-02-19T15:31:09Z,2022-02-19T15:36:36Z,2022-02-19T17:02:08Z,SUCCEEDED,1136224,101288,35.072
u-ch427-n512-template-start-all2, 5202.099 ,138.96,,,1,,38,2022-02-25T17:23:20Z,2022-02-25T17:23:49Z,2022-02-25T18:51:43Z,SUCCEEDED,1160064,121902,36.504
u-ch427-n512-template-start-paper, 5474.444 ,125.79,,,2,,75,2022-06-20T22:54:06Z,2022-06-21T00:10:03Z,2022-06-21T01:42:10Z,SUCCEEDED,1878934,162905,38.380
u-ch427-n512-template-start-paper-00, 5576.717 ,117.13,,,2,,75,2022-06-14T13:53:51Z,2022-06-14T13:54:13Z,2022-06-14T15:28:05Z,SUCCEEDED,1819462,49663,76.790
u-ch427-n512-template-start-paper-ms, 5641.069 ,120.62,,,2,,75,2022-06-20T23:36:16Z,2022-06-21T02:00:36Z,2022-06-21T03:35:35Z,SUCCEEDED,1879309,235955,40.435
u-ch427-n512-template-start-paper-ms-00, 5623.992 ,121.26,,,2,,75,2022-06-18T12:20:21Z,2022-06-18T12:36:56Z,2022-06-18T14:11:40Z,SUCCEEDED,1857539,223255,39.769
u-ch427-n512-template-start-paper-prec, 5512.149 ,118.33,,,2,,75,2022-06-20T22:54:45Z,2022-06-21T01:02:59Z,2022-06-21T02:35:44Z,SUCCEEDED,1878951,258915,39.106
u-ch427-n512-template-start-paper-prec-00, 5779.523 ,118.72,,,2,,75,2022-06-18T14:11:44Z,2022-06-18T20:50:32Z,2022-06-18T22:27:43Z,SUCCEEDED,1859857,181074,40.973
u-ch427-n512-template-start-paper-x0, 5177.915 ,116.61,,,2,,75,2022-06-20T22:54:15Z,2022-06-21T00:38:55Z,2022-06-21T02:06:47Z,SUCCEEDED,1878945,249649,36.247
u-ch427-n512-template-start-paper-x-00, 4576.736 ,119.72,,,2,,75,2022-06-14T23:41:29Z,2022-06-15T02:31:26Z,2022-06-15T03:53:11Z,SUCCEEDED,1821947,223524,31.638
u-ch427-n512-template-start-paper-x0-00, 5430.903 ,119.02,,,2,,75,2022-06-15T13:54:20Z,2022-06-15T13:55:23Z,2022-06-15T15:27:26Z,SUCCEEDED,1825973,65990,47.420
u-ch427-n512-template-start-paper-x0-prec, 5817.831 ,118.82,,,2,,75,2022-06-20T23:06:04Z,2022-06-21T01:43:00Z,2022-06-21T03:20:57Z,SUCCEEDED,1879051,210464,39.286
u-ch427-n512-template-start-paper-x0-prec-00, 5453.655 ,118.60,,,2,,75,2022-06-18T12:44:43Z,2022-06-18T20:32:06Z,2022-06-18T22:04:00Z,SUCCEEDED,1858028,239776,46.291
u-ch427-n512-template-start-paper-x5, 5467.897 ,117.75,,,2,,75,2022-06-20T22:54:33Z,2022-06-21T00:55:36Z,2022-06-21T02:28:16Z,SUCCEEDED,1878946,150780,46.259
u-ch427-n512-template-start-paper-x5-00, 5543.246 ,117.52,,,2,,75,2022-06-15T19:20:34Z,2022-06-16T01:02:41Z,2022-06-16T02:36:37Z,SUCCEEDED,1827873,9655,55.037
u-ch427-n96-all-fields-multiple-files, 62.623 ,10.92,,,1,,5,2022-01-11T02:44:03Z,2022-01-11T02:44:13Z,2022-01-11T02:45:33Z,SUCCEEDED,956745,230417,0.550
u-ch427-n96-all-fields-one-file, 129.354 ,13.52,,,1,,5,2022-01-11T02:25:31Z,2022-01-11T02:27:58Z,2022-01-11T02:31:20Z,SUCCEEDED,956705,51257,12.693
u-ch427-n96-ens00, 59.270 ,10.94,,,0,96,5,2021-12-26T20:52:15Z,2021-12-26T20:53:27Z,2021-12-26T20:54:41Z,SUCCEEDED,921810,128434,0.547
u-ch427-n96-ens01, 58.912 ,10.74,,,1,96,5,2021-12-26T22:03:03Z,2021-12-26T22:16:22Z,2021-12-26T22:17:35Z,SUCCEEDED,921941,201494,0.517
u-ch427-n96-ens02, 60.563 ,12.23,,,2,96,9,2021-12-26T22:03:03Z,2021-12-26T22:20:27Z,2021-12-26T22:21:42Z,SUCCEEDED,921940,236476,0.521
u-ch427-n96-ens03, 59.729 ,13.67,,,3,96,13,2021-12-26T22:03:03Z,2021-12-26T22:20:28Z,2021-12-26T22:21:43Z,SUCCEEDED,921939,117998,0.520
u-ch427-n96-ens04, 64.119 ,15.16,,,4,96,17,2021-12-26T22:03:03Z,2021-12-26T22:19:18Z,2021-12-26T22:20:39Z,SUCCEEDED,921938,178189,0.528
u-ch427-n96-ens05, 81.187 ,30.63,,,5,96,21,2021-12-26T22:03:03Z,2021-12-26T22:13:27Z,2021-12-26T22:15:24Z,SUCCEEDED,921936,203485,0.534
u-ch427-n96-ens06, 83.008 ,32.27,,,6,96,25,2021-12-26T22:03:03Z,2021-12-26T22:09:13Z,2021-12-26T22:11:14Z,SUCCEEDED,921935,35468,0.538
u-ch427-n96-ens07, 85.763 ,33.20,,,7,96,29,2021-12-26T22:03:03Z,2021-12-26T22:16:23Z,2021-12-26T22:18:25Z,SUCCEEDED,921937,204893,0.538
u-ch427-n96-ens08, 85.609 ,34.35,,,8,96,33,2021-12-26T22:03:05Z,2021-12-26T22:28:25Z,2021-12-26T22:30:27Z,SUCCEEDED,921947,18711,0.525
u-ch427-n96-ens09, 88.297 ,35.93,,,9,96,37,2021-12-26T22:03:05Z,2021-12-26T22:38:23Z,2021-12-26T22:40:31Z,SUCCEEDED,921948,150653,0.526
u-ch427-n96-ens10, 102.766 ,36.60,,,10,96,41,2021-12-26T22:03:05Z,2021-12-26T22:35:17Z,2021-12-26T22:37:39Z,SUCCEEDED,921943,133419,0.535
u-ch427-n96-ens11, 103.534 ,36.30,,,11,96,45,2021-12-26T22:03:05Z,2021-12-26T22:17:27Z,2021-12-26T22:19:51Z,SUCCEEDED,921942,9161,0.550
u-ch427-n96-ens12, 101.991 ,37.89,,,12,96,49,2021-12-26T22:03:05Z,2021-12-26T22:13:26Z,2021-12-26T22:15:48Z,SUCCEEDED,921944,252285,0.542
u-ch427-n96-ens13, 107.053 ,37.76,,,13,96,53,2021-12-26T22:03:05Z,2021-12-26T22:21:23Z,2021-12-26T22:23:51Z,SUCCEEDED,921945,27182,0.535
u-ch427-n96-ens14, 108.390 ,54.04,,,14,96,57,2021-12-26T22:03:08Z,2021-12-27T00:04:27Z,2021-12-27T00:06:57Z,SUCCEEDED,921951,192476,0.530
u-ch427-n96-ens15, 110.516 ,55.41,,,15,96,61,2021-12-26T22:03:08Z,2021-12-27T00:08:28Z,2021-12-27T00:11:19Z,SUCCEEDED,921953,210400,0.532
u-ch427-n96-ens16, 112.056 ,56.15,,,16,96,65,2021-12-26T22:03:08Z,2021-12-26T22:41:24Z,2021-12-26T22:44:17Z,SUCCEEDED,921949,24344,0.540
u-ch427-n96-ens17, 112.887 ,56.81,,,17,96,69,2021-12-26T22:03:08Z,2021-12-27T00:57:27Z,2021-12-27T01:00:22Z,SUCCEEDED,921952,80083,0.532
u-ch427-n96-ens18, 113.115 ,54.65,,,18,96,73,2021-12-26T22:03:08Z,2021-12-27T00:14:28Z,2021-12-27T00:17:22Z,SUCCEEDED,921950,19258,0.539
u-ch427-n96-ens19, 113.040 ,56.20,,,18,96,73,2021-12-26T22:03:08Z,2021-12-27T01:04:22Z,2021-12-27T01:07:18Z,SUCCEEDED,921954,26671,0.549
u-ch427-n96-ens20, 115.322 ,60.46,,,20,96,81,2021-12-26T22:03:08Z,2021-12-26T22:33:29Z,2021-12-26T22:36:32Z,SUCCEEDED,921955,36202,0.541
u-ch427-n96-ens21, 129.677 ,72.29,,,21,96,85,2021-12-26T22:03:08Z,2021-12-27T02:19:22Z,2021-12-27T02:22:36Z,SUCCEEDED,921956,15156,0.547
u-ch427-n96-ens22, 137.959 ,73.74,,,22,96,89,2021-12-26T22:03:10Z,2021-12-27T02:23:27Z,2021-12-27T02:26:49Z,SUCCEEDED,921957,33644,0.543
u-ch427-n96-ens23, 132.146 ,72.46,,,23,96,93,2021-12-26T21:21:15Z,2021-12-27T01:12:23Z,2021-12-27T01:15:40Z,SUCCEEDED,921881,117332,0.539
u-ch427-n96-ens24, 135.163 ,60.43,,,24,96,97,2021-12-26T21:21:32Z,2021-12-27T01:16:28Z,2021-12-27T01:20:08Z,SUCCEEDED,921900,25002,0.554
u-ch427-n96-ens25, 135.968 ,75.42,,,25,96,101,2021-12-26T21:21:37Z,2021-12-27T00:19:30Z,2021-12-27T00:22:53Z,SUCCEEDED,921901,37840,0.550
u-ch427-n96-ens256,,,,,256,96,1025,2022-01-02T06:58:49Z,2022-01-03T03:56:20Z,2022-01-03T03:56:28Z,E,934857,193090,
u-ch427-n96-ens257,,,,,257,96,1029,2022-01-02T07:01:33Z,2022-01-03T03:55:31Z,2022-01-03T03:55:39Z,E,934863,191632,
u-ch427-n96-ens26, 137.880 ,62.78,,,26,96,105,2021-12-26T22:39:57Z,2021-12-27T02:29:21Z,2021-12-27T02:33:04Z,SUCCEEDED,922129,110114,0.542
u-ch427-n96-ens27, 138.927 ,64.32,,,27,96,109,2021-12-26T22:40:10Z,2021-12-27T02:34:23Z,2021-12-27T02:38:06Z,SUCCEEDED,922130,129260,0.544
u-ch427-n96-ens28, 143.064 ,63.58,,,28,96,113,2021-12-26T22:40:25Z,2021-12-27T02:40:22Z,2021-12-27T02:44:11Z,SUCCEEDED,922131,148542,0.567
u-ch427-n96-ens29, 142.655 ,78.46,,,29,96,117,2021-12-26T23:00:38Z,2021-12-27T02:49:26Z,2021-12-27T02:53:16Z,SUCCEEDED,922210,107625,0.550
u-ch427-n96-ens30, 142.709 ,79.21,,,30,96,121,2021-12-26T23:00:47Z,2021-12-27T02:54:22Z,2021-12-27T02:58:12Z,SUCCEEDED,922211,126915,0.557
u-ch427-n96-ens31, 147.286 ,67.28,,,31,96,125,2021-12-26T23:00:57Z,2021-12-27T03:10:27Z,2021-12-27T03:14:22Z,SUCCEEDED,922212,183855,0.546
