SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n216-ens13, 288.254 ,158.65,,,13,216,190,2021-12-28T00:42:41Z,2021-12-28T01:09:28Z,2021-12-28T01:16:31Z,SUCCEEDED,924806,174218,0.887
u-ch427-n216-ens14, 269.205 ,155.26,,,14,216,204,2021-12-28T00:53:22Z,2021-12-28T02:36:30Z,2021-12-28T02:43:15Z,SUCCEEDED,924839,215608,0.877
u-ch427-n216-ens15, 280.237 ,160.30,,,15,216,218,2021-12-28T00:43:44Z,2021-12-28T02:18:30Z,2021-12-28T02:25:58Z,SUCCEEDED,924816,94181,0.893
u-ch427-n216-ens16, 303.022 ,174.69,,,16,216,232,2021-12-28T00:52:27Z,2021-12-28T02:27:31Z,2021-12-28T02:35:11Z,SUCCEEDED,924835,154917,0.918
u-ch427-n216-ens17, 302.889 ,178.94,,,17,216,246,2021-12-28T01:07:59Z,2021-12-28T07:15:21Z,2021-12-28T07:23:04Z,SUCCEEDED,924880,198356,0.887
u-ch427-n216-ens18, 318.109 ,182.94,,,18,216,260,2021-12-28T01:08:37Z,2021-12-28T02:44:28Z,2021-12-28T02:52:47Z,SUCCEEDED,924881,51435,0.900
u-ch427-n216-ens19, 323.076 ,191.77,,,19,216,274,2021-12-28T01:08:47Z,2021-12-28T07:13:22Z,2021-12-28T07:21:50Z,SUCCEEDED,924883,212219,0.919
u-ch427-n216-ens20, 328.821 ,230.16,,,20,216,288,2021-12-28T01:08:55Z,2021-12-28T06:29:26Z,2021-12-28T06:38:22Z,SUCCEEDED,924884,2870,0.927
u-ch427-n216-ens21, 337.896 ,198.13,,,21,216,302,2021-12-28T01:06:31Z,2021-12-28T02:57:28Z,2021-12-28T03:06:37Z,SUCCEEDED,924879,75908,0.893
u-ch427-n216-ens22, 353.966 ,198.21,,,22,216,316,2021-12-29T01:18:18Z,2021-12-29T16:44:17Z,2021-12-29T16:54:05Z,SUCCEEDED,926920,49047,0.927
u-ch427-n216-ens23, 370.142 ,228.39,,,23,216,330,2021-12-29T01:16:36Z,2021-12-29T16:33:18Z,2021-12-29T16:43:23Z,SUCCEEDED,926910,247317,1.062
u-ch427-n216-ens24, 378.471 ,231.43,,,24,216,344,2021-12-29T01:18:13Z,2021-12-29T20:31:22Z,2021-12-29T20:41:58Z,SUCCEEDED,926919,41191,0.940
u-ch427-n216-ens25, 394.077 ,232.19,,,25,216,358,2021-12-29T01:37:03Z,2021-12-30T07:18:10Z,2021-12-30T07:29:06Z,SUCCEEDED,926994,169723,0.891
u-ch427-n216-ens26, 390.403 ,223.87,,,26,216,372,2021-12-29T01:37:10Z,2021-12-30T02:35:20Z,2021-12-30T02:46:34Z,SUCCEEDED,926995,252329,0.893
u-ch427-n216-ens27, 419.600 ,237.66,,,27,216,386,2021-12-29T01:37:49Z,2021-12-30T03:01:19Z,2021-12-30T03:13:06Z,SUCCEEDED,927004,116309,1.221
u-ch427-n216-ens28, 468.684 ,271.03,,,28,216,400,2021-12-29T01:34:00Z,2021-12-30T02:21:21Z,2021-12-30T02:34:17Z,SUCCEEDED,926981,248343,0.903
u-ch427-n216-ens29, 455.151 ,265.99,,,29,216,414,2021-12-29T01:37:44Z,2021-12-30T02:47:21Z,2021-12-30T03:00:38Z,SUCCEEDED,927003,52959,0.925
u-ch427-n216-ens30, 466.491 ,272.92,,,30,216,428,2021-12-29T01:46:11Z,2021-12-30T07:29:42Z,2021-12-30T07:42:07Z,SUCCEEDED,927041,231902,0.919
u-ch427-n216-ens31, 482.551 ,304.79,,,31,216,442,2021-12-29T01:47:27Z,2021-12-30T07:17:15Z,2021-12-30T07:30:26Z,SUCCEEDED,927047,178365,0.952
