u-ch427-n96-max18-single-ens00,,Total Size,0

u-ch427-n96-max18-single-ens01,,Total Size,93855346

u-ch427-n96-max18-single-ens02,,Total Size,93855346

u-ch427-n96-max18-single-ens03,,Total Size,93855346

u-ch427-n96-max18-single-ens04,,Total Size,93855346

u-ch427-n96-max18-single-ens05,,Total Size,93855346

u-ch427-n96-max18-single-ens06,,Total Size,93855346

u-ch427-n96-max18-single-ens07,,Total Size,93855346

u-ch427-n96-max18-single-ens08,,Total Size,93855346

u-ch427-n96-max18-single-ens09,,Total Size,93855346

u-ch427-n96-max18-single-ens10,,Total Size,93855346

u-ch427-n96-max18-single-ens11,,Total Size,93855346

u-ch427-n96-max18-single-ens12,,Total Size,93855346

u-ch427-n96-max18-single-ens13,,Total Size,93855346

u-ch427-n96-max18-single-ens14,,Total Size,93855346

u-ch427-n96-max18-single-ens15,,Total Size,93855346

u-ch427-n96-max18-single-ens16,,Total Size,93855346

u-ch427-n96-max18-single-ens17,,Total Size,93855346

u-ch427-n96-max18-single-ens18,,Total Size,93855346

