SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK,PROCX,PROCY,XIOS_NPROC
final-total-all-suites.csv,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,,,,
n1280,,,,,,,,,,,,,,,,,
n216-ens,,,,,,,,,,,,,,,,,
n216-paper,,,,,,,,,,,,,,,,,
n512-ens,,,,,,,,,,,,,,,,,
n512-paper,,,,,,,,,,,,,,,,,
n96-ens,,,,,,,,,,,,,,,,,
n96-paper,,,,,,,,,,,,,,,,,
old-xml-scripts,,,,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-21, 323.235 ,102.21,,,21,,302,2022-06-23T15:05:44Z,2022-06-23T16:07:27Z,2022-06-23T16:16:55Z,SUCCEEDED,1901943,33330,5.060,32,28,16
u-ch427-n216-start-paper-22, 324.155 ,126.99,,,22,,316,2022-06-23T15:06:17Z,2022-06-23T16:09:38Z,2022-06-23T16:19:20Z,SUCCEEDED,1901948,64394,6.623,32,28,16
u-ch427-n216-start-paper-23, 310.288 ,107.42,,,23,,330,2022-06-24T13:04:44Z,2022-06-25T03:08:34Z,2022-06-25T03:18:06Z,SUCCEEDED,1907903,211410,7.270,32,28,16
u-ch427-n216-start-paper-24, 328.412 ,119.12,,,24,,344,2022-06-24T13:05:12Z,2022-06-25T01:17:58Z,2022-06-25T01:27:24Z,SUCCEEDED,1907912,209698,6.321,32,28,16
u-ch427-n216-start-paper-25, 377.625 ,122.52,,,25,,358,2022-06-23T23:55:27Z,2022-06-24T00:35:15Z,2022-06-24T00:45:55Z,SUCCEEDED,1905209,162435,8.398,32,28,16
u-ch427-n216-start-paper-26, 407.449 ,184.11,,,26,,372,2022-06-23T23:54:36Z,2022-06-24T00:57:35Z,2022-06-24T01:08:54Z,SUCCEEDED,1905208,44567,8.784,32,28,16
u-ch427-n216-start-paper-27, 357.736 ,126.60,,,27,,386,2022-06-23T23:54:05Z,2022-06-24T00:46:38Z,2022-06-24T00:57:28Z,SUCCEEDED,1905206,244950,9.594,32,28,16
u-ch427-n216-start-paper-28, 369.292 ,128.43,,,28,,400,2022-06-24T13:06:23Z,2022-06-25T01:01:08Z,2022-06-25T01:12:13Z,SUCCEEDED,1907925,30654,7.720,32,28,16
u-ch427-n216-start-paper-29, 373.064 ,123.44,,,29,,414,2022-06-24T13:06:37Z,2022-06-25T02:56:09Z,2022-06-25T03:07:43Z,SUCCEEDED,1907927,206672,8.387,32,28,16
u-ch427-n216-start-paper-30, 378.810 ,122.50,,,30,,428,2022-06-24T13:06:31Z,2022-06-25T02:42:56Z,2022-06-25T02:55:01Z,SUCCEEDED,1907926,144718,11.141,32,28,16
u-ch427-n216-start-paper-30-042-02, 360.641 ,201.01,,,30,,441,2022-09-11T02:15:26Z,2022-09-11T04:46:30Z,2022-09-11T04:58:18Z,SUCCEEDED,2306092,37208,3.028,32,28,42
u-ch427-n216-start-paper-30-084-02, 296.771 ,140.58,,,30,,462,2022-09-11T02:15:54Z,2022-09-11T04:58:36Z,2022-09-11T05:09:15Z,SUCCEEDED,2306094,98865,1.956,32,28,84
u-ch427-n216-start-paper-30-126-02, 319.598 ,155.49,,,30,,483,2022-09-18T23:12:54Z,2022-09-19T07:07:20Z,2022-09-19T07:17:59Z,SUCCEEDED,2335483,233785,2.993,32,28,126
u-ch427-n216-start-paper-30-168-02, 324.728 ,168.08,,,30,,504,2022-09-11T02:16:42Z,2022-09-11T05:09:32Z,2022-09-11T05:20:35Z,SUCCEEDED,2306098,159930,2.927,32,28,168
u-ch427-n216-start-paper-30-210-02, 326.734 ,173.26,,,30,,525,2022-09-12T02:49:14Z,2022-09-12T23:34:35Z,2022-09-12T23:44:23Z,SUCCEEDED,2308955,96357,2.906,32,28,210
u-ch427-n216-start-paper-30-252-02, 378.891 ,236.23,,,30,,546,2022-09-11T22:37:51Z,2022-09-12T23:23:10Z,2022-09-12T23:33:49Z,SUCCEEDED,2308610,31230,2.199,32,28,252
u-ch427-n216-start-paper-30-294-02, 441.701 ,240.97,,,30,,567,2022-09-18T23:13:28Z,2022-09-19T03:25:15Z,2022-09-19T03:37:56Z,SUCCEEDED,2335488,229725,3.028,32,28,294
u-ch427-n216-start-paper-30-336-02, 355.714 ,207.23,,,30,,588,2022-09-11T22:37:49Z,2022-09-12T10:03:13Z,2022-09-12T10:13:53Z,SUCCEEDED,2308608,5928,2.378,32,28,336
u-ch427-n216-start-paper-30-378-02, 367.639 ,206.38,,,30,,609,2022-09-12T02:49:17Z,2022-09-13T01:06:12Z,2022-09-13T01:17:27Z,SUCCEEDED,2308956,219123,3.388,32,28,378
u-ch427-n216-start-paper-30-420-02, 357.463 ,208.24,,,30,,630,2022-09-11T22:37:54Z,2022-09-13T00:54:16Z,2022-09-13T01:05:18Z,SUCCEEDED,2308617,155937,2.078,32,28,420
u-ch427-n216-start-paper-30-462-02, 471.065 ,279.92,,,30,,651,2022-09-19T19:46:20Z,2022-09-19T22:41:15Z,2022-09-19T22:54:34Z,SUCCEEDED,2337880,229602,9.252,32,28,462
u-ch427-n216-start-paper-30-504-02, 376.992 ,219.44,,,30,,672,2022-09-11T22:37:54Z,2022-09-12T00:49:32Z,2022-09-12T01:01:09Z,SUCCEEDED,2308616,90009,3.932,32,28,504
u-ch427-n216-start-paper-30-546-02, 379.980 ,222.56,,,30,,693,2022-09-19T06:04:13Z,2022-09-19T18:20:11Z,2022-09-19T18:32:30Z,SUCCEEDED,2335887,132145,2.039,32,28,546
u-ch427-n216-start-paper-30-588-02, 368.293 ,212.51,,,30,,714,2022-09-18T23:16:54Z,2022-09-19T04:20:04Z,2022-09-19T04:32:08Z,SUCCEEDED,2335512,44113,2.109,32,28,588
u-ch427-n216-start-paper-30-630-02, 402.250 ,224.97,,,30,,735,2022-09-19T06:04:05Z,2022-09-19T18:06:35Z,2022-09-19T18:19:33Z,SUCCEEDED,2335886,69734,2.744,32,28,630
u-ch427-n216-start-paper-30-672-02, 370.518 ,213.23,,,30,,756,2022-09-11T03:33:32Z,2022-09-11T04:05:54Z,2022-09-11T04:17:43Z,SUCCEEDED,2306153,100612,3.037,32,28,672
u-ch427-n216-start-paper-30-714-02, 427.613 ,298.94,,,30,,777,2022-09-11T06:33:53Z,2022-09-11T07:12:05Z,2022-09-11T07:24:54Z,SUCCEEDED,2306232,124674,1.901,32,28,714
u-ch427-n216-start-paper-30-756-02, 404.248 ,254.87,,,30,,798,2022-09-11T06:34:07Z,2022-09-11T07:25:16Z,2022-09-11T07:38:02Z,SUCCEEDED,2306233,186880,1.890,32,28,756
u-ch427-n216-start-paper-30-798-02, 403.973 ,261.71,,,30,,819,2022-09-11T06:34:22Z,2022-09-11T07:49:02Z,2022-09-11T08:01:29Z,SUCCEEDED,2306234,251063,2.187,32,28,798
u-ch427-n216-start-paper-30-840-02, 367.839 ,210.21,,,30,,840,2022-09-11T06:34:44Z,2022-09-11T08:13:55Z,2022-09-11T08:26:05Z,SUCCEEDED,2306235,55039,2.099,32,28,840
u-ch427-n216-start-paper-30-882-02, 862.411 ,425.87,,,30,,861,2022-09-11T06:34:59Z,2022-09-11T06:46:07Z,2022-09-11T07:06:35Z,SUCCEEDED,2306236,152938,22.618,32,28,882
u-ch427-n216-start-paper-30-882-02-2, 384.804 ,215.82,,,30,,861,2022-10-17T00:21:59Z,2022-10-17T00:22:59Z,2022-10-17T00:35:13Z,SUCCEEDED,2459171,139272,2.734,32,28,882
u-ch427-n216-start-paper-30-924-02, 367.575 ,209.73,,,30,,882,2022-09-11T06:35:14Z,2022-09-11T08:26:27Z,2022-09-11T08:38:49Z,SUCCEEDED,2306237,117608,3.190,32,28,924
u-ch427-n216-start-paper-40, 613.606 ,145.45,,,40,,568,2022-07-02T21:40:57Z,2022-07-03T08:41:12Z,2022-07-03T08:59:19Z,SUCCEEDED,1949695,181969,19.106,32,28,16
u-ch427-n216-start-paper-50, 857.080 ,186.95,,,50,,708,2022-07-02T21:12:27Z,2022-07-03T05:48:43Z,2022-07-03T06:11:30Z,SUCCEEDED,1949570,176842,9.257,32,28,16
u-ch427-n216-start-paper-60, 997.637 ,210.15,,,60,,848,2022-07-02T21:13:31Z,2022-07-03T07:41:27Z,2022-07-03T08:10:19Z,SUCCEEDED,1949573,48205,39.216,32,28,16
u-ch427-n216-start-paper-60-042-02, 601.822 ,220.84,,,60,,861,2022-09-18T23:20:16Z,2022-09-19T06:39:23Z,2022-09-19T06:59:26Z,SUCCEEDED,2335537,14167,8.622,32,28,42
u-ch427-n216-start-paper-60-084-02, 579.084 ,261.13,,,60,,882,2022-09-10T01:34:21Z,2022-09-10T22:10:42Z,2022-09-10T22:30:15Z,SUCCEEDED,2302286,80722,3.456,32,28,84
u-ch427-n216-start-paper-60-126-02, 617.863 ,294.81,,,60,,903,2022-09-18T23:20:34Z,2022-09-19T05:37:52Z,2022-09-19T05:57:41Z,SUCCEEDED,2335542,237393,8.376,32,28,126
u-ch427-n216-start-paper-60-168-02, 673.361 ,348.12,,,60,,924,2022-09-18T23:20:59Z,2022-09-19T05:57:58Z,2022-09-19T06:18:48Z,SUCCEEDED,2335549,42816,8.421,32,28,168
u-ch427-n216-start-paper-60-no-io, 273.806 ,122.62,,,60,,848,2022-07-09T21:10:31Z,2022-07-10T05:33:30Z,2022-07-10T05:49:42Z,SUCCEEDED,1993853,149676,1.052,32,28,16
u-ch427-n216-start-paper-60-no-io-no-files, 221.146 ,115.45,,,60,,848,2022-07-15T21:39:54Z,2022-07-17T13:30:12Z,2022-07-17T13:45:10Z,SUCCEEDED,2028953,189438,0.867,32,28,16
u-ch427-n216-start-paper-70, 1254.937 ,245.28,,,70,,988,2022-07-04T19:32:19Z,2022-07-05T05:43:18Z,2022-07-05T06:17:56Z,EXIT,1960123,28475,43.650,32,28,16
u-ch427-n216-start-paper-ms-00, 129.285 ,40.24,,,0,,22,2022-06-26T22:22:00Z,2022-06-26T22:39:49Z,2022-06-26T22:42:16Z,SUCCEEDED,1918454,240077,0.872,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-00, 128.370 ,40.56,,,0,,22,2022-06-25T05:33:49Z,2022-06-25T05:34:09Z,2022-06-25T05:36:31Z,SUCCEEDED,1911203,20290,0.867,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-01, 153.003 ,41.52,,,1,,22,2022-06-25T05:33:59Z,2022-06-25T05:34:54Z,2022-06-25T05:37:57Z,SUCCEEDED,1911204,24095,1.174,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-02, 172.621 ,55.09,,,2,,36,2022-06-25T05:34:14Z,2022-06-25T05:34:54Z,2022-06-25T05:38:50Z,SUCCEEDED,1911205,169304,1.322,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-03, 176.424 ,55.68,,,3,,50,2022-06-25T05:34:28Z,2022-06-25T05:34:54Z,2022-06-25T05:38:58Z,SUCCEEDED,1911206,87932,2.366,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-04, 190.683 ,55.54,,,4,,64,2022-06-25T08:34:49Z,2022-06-25T08:51:00Z,2022-06-25T08:55:23Z,SUCCEEDED,1911721,249940,1.499,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-05, 209.087 ,59.78,,,5,,78,2022-06-25T08:35:03Z,2022-06-25T09:05:36Z,2022-06-25T09:10:42Z,SUCCEEDED,1911722,141073,1.831,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-06, 217.576 ,62.46,,,6,,92,2022-06-25T08:35:33Z,2022-06-25T08:41:49Z,2022-06-25T08:47:06Z,SUCCEEDED,1911724,204150,3.102,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-07, 240.503 ,75.07,,,7,,106,2022-06-25T02:36:22Z,2022-06-25T02:58:30Z,2022-06-25T03:04:32Z,SUCCEEDED,1910714,29315,3.902,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-08, 245.734 ,70.31,,,8,,120,2022-06-26T04:48:51Z,2022-06-26T10:02:31Z,2022-06-26T10:08:44Z,SUCCEEDED,1915150,235881,5.725,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-09, 260.664 ,75.73,,,9,,134,2022-06-25T05:37:53Z,2022-06-25T05:38:37Z,2022-06-25T05:45:05Z,SUCCEEDED,1911282,76508,5.329,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-10, 279.987 ,78.82,,,10,,148,2022-06-24T22:27:47Z,2022-06-24T22:48:11Z,2022-06-24T22:55:03Z,SUCCEEDED,1909891,244779,6.305,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-20, 447.506 ,105.58,,,20,,288,2022-06-25T05:38:34Z,2022-06-25T05:45:39Z,2022-06-25T05:57:20Z,SUCCEEDED,1911284,146087,19.568,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-30, 642.116 ,121.58,,,30,,428,2022-06-25T05:39:13Z,2022-06-25T06:11:54Z,2022-06-25T06:29:11Z,SUCCEEDED,1911286,236216,17.737,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-40, 1103.117 ,139.60,,,40,,568,2022-06-26T04:49:00Z,2022-06-27T06:43:56Z,2022-06-27T07:10:38Z,SUCCEEDED,1915151,99167,37.017,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-50, 1571.158 ,171.18,,,50,,708,2022-07-01T11:42:38Z,2022-07-01T11:43:05Z,2022-07-01T12:19:22Z,SUCCEEDED,1943129,19735,42.585,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-60, 2064.758 ,227.71,,,60,,848,2022-07-01T22:16:16Z,2022-07-01T22:29:30Z,2022-07-01T23:15:58Z,SUCCEEDED,1945316,145369,82.621,32,28,16
u-ch427-n216-start-paper-ms-x0-prec-70, 2531.713 ,248.52,,,70,,988,2022-07-04T19:30:48Z,2022-07-05T04:11:03Z,2022-07-05T05:06:38Z,EXIT,1960110,148291,91.343,32,28,16
u-ch427-n216-start-paper-prec-00, 128.966 ,40.24,,,0,,22,2022-06-26T22:23:02Z,2022-06-26T22:51:54Z,2022-06-26T22:54:17Z,SUCCEEDED,1918458,8993,0.870,32,28,16
u-ch427-n216-start-paper-v2-ens10, 229.410 ,80.94,,,10,,148,2022-09-02T01:24:07Z,2022-09-02T01:24:17Z,2022-09-02T01:30:16Z,SUCCEEDED,2265884,78484,4.468,32,28,16
u-ch427-n216-start-paper-v2-ens20, 300.817 ,112.88,,,20,,288,2022-09-02T01:24:22Z,2022-09-02T01:31:29Z,2022-09-02T01:39:54Z,SUCCEEDED,2265885,112150,5.005,32,28,16
u-ch427-n216-start-paper-v2-ens30, 399.883 ,128.40,,,30,,428,2022-09-02T21:55:35Z,2022-09-03T06:42:37Z,2022-09-03T06:55:02Z,SUCCEEDED,2271053,31513,8.788,32,28,16
u-ch427-n216-start-paper-v2-ens40, 579.764 ,156.09,,,40,,568,2022-09-02T21:55:35Z,2022-09-03T00:13:34Z,2022-09-03T00:30:52Z,SUCCEEDED,2271054,211168,17.415,32,28,16
u-ch427-n216-start-paper-v2-ens50, 848.721 ,177.10,,,50,,708,2022-09-02T01:25:18Z,2022-09-02T02:37:24Z,2022-09-02T02:59:55Z,SUCCEEDED,2265888,38055,8.929,32,28,16
u-ch427-n216-start-paper-v2-ens60,,,,,60,,848,2022-09-02T21:55:37Z,2022-09-03T13:47:54Z,2022-09-03T14:00:31Z,EXIT,2271058,186244,,32,28,16
u-ch427-n216-start-paper-x0-00, 133.460 ,42.73,,,0,,22,2022-07-02T21:38:16Z,2022-07-02T21:44:43Z,2022-07-02T21:47:11Z,SUCCEEDED,1949680,183920,0.867,32,28,16
u-ch427-n216-start-paper-x0-01, 150.776 ,42.14,,,1,,22,2022-06-22T16:31:37Z,2022-06-22T16:39:59Z,2022-06-22T16:43:00Z,SUCCEEDED,1895444,57046,1.421,32,28,16
u-ch427-n216-start-paper-x0-02, 157.824 ,46.18,,,2,,36,2022-06-22T16:32:05Z,2022-06-22T16:43:55Z,2022-06-22T16:47:29Z,SUCCEEDED,1895447,166211,1.120,32,28,16
u-ch427-n216-start-paper-x0-03, 177.232 ,53.04,,,3,,50,2022-06-22T16:32:39Z,2022-06-22T17:03:38Z,2022-06-22T17:07:31Z,SUCCEEDED,1895452,4268,1.501,32,28,16
u-ch427-n216-start-paper-x0-04, 171.006 ,54.88,,,4,,64,2022-06-22T16:33:09Z,2022-06-22T16:39:09Z,2022-06-22T16:43:09Z,SUCCEEDED,1895453,99988,1.167,32,28,16
u-ch427-n216-start-paper-x0-05, 167.412 ,54.68,,,5,,78,2022-06-22T22:33:40Z,2022-06-22T22:41:02Z,2022-06-22T22:45:12Z,SUCCEEDED,1897335,104000,1.186,32,28,16
u-ch427-n216-start-paper-x0-06, 172.526 ,58.23,,,6,,92,2022-06-22T22:34:18Z,2022-06-22T22:46:15Z,2022-06-22T22:50:31Z,SUCCEEDED,1897352,147762,1.206,32,28,16
u-ch427-n216-start-paper-x0-07, 188.908 ,71.76,,,7,,106,2022-06-22T13:35:14Z,2022-06-22T14:32:44Z,2022-06-22T14:37:21Z,SUCCEEDED,1894048,123945,1.402,32,28,16
u-ch427-n216-start-paper-x0-08, 198.226 ,63.08,,,8,,120,2022-06-22T23:04:58Z,2022-06-22T23:05:16Z,2022-06-22T23:10:26Z,SUCCEEDED,1897403,174133,2.304,32,28,16
u-ch427-n216-start-paper-x0-09, 181.521 ,65.22,,,9,,134,2022-06-27T12:09:06Z,2022-06-28T00:41:27Z,2022-06-28T00:46:22Z,SUCCEEDED,1922027,229223,1.446,32,28,16
u-ch427-n216-start-paper-x0-10, 200.648 ,68.08,,,10,,148,2022-06-27T12:09:25Z,2022-06-28T01:10:21Z,2022-06-28T01:15:59Z,SUCCEEDED,1922028,182962,1.418,32,28,16
u-ch427-n216-start-paper-x0-11,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-12,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-13,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-14,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-15,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-16,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-17,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-18,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-19,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-20, 318.057 ,118.28,,,20,,288,2022-06-22T13:20:49Z,2022-06-22T15:03:46Z,2022-06-22T15:13:00Z,SUCCEEDED,1893954,254779,2.454,32,28,16
u-ch427-n216-start-paper-x0-21, 298.315 ,102.52,,,21,,302,2022-06-22T16:51:40Z,2022-06-22T23:12:55Z,2022-06-22T23:22:07Z,SUCCEEDED,1895539,155375,7.000,32,28,16
u-ch427-n216-start-paper-x0-22,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-23,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-24,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-25, 335.496 ,110.12,,,25,,358,2022-06-22T16:56:46Z,2022-06-22T21:13:11Z,2022-06-22T21:23:57Z,SUCCEEDED,1895561,152231,9.841,32,28,16
u-ch427-n216-start-paper-x0-26,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-27,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-28,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-29,,,,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-30, 384.009 ,120.49,,,30,,428,2022-06-27T12:11:07Z,2022-06-28T05:56:42Z,2022-06-28T06:09:30Z,SUCCEEDED,1922033,258199,5.656,32,28,16
u-ch427-n216-start-paper-x0-40, 637.056 ,153.74,,,40,,568,2022-07-03T23:24:24Z,2022-07-04T01:54:41Z,2022-07-04T02:12:52Z,SUCCEEDED,1954283,149735,14.899,32,28,16
u-ch427-n216-start-paper-x0-50, 860.530 ,175.43,,,50,,708,2022-07-01T22:23:16Z,2022-07-02T09:11:16Z,2022-07-02T09:35:23Z,SUCCEEDED,1945332,59008,9.683,32,28,16
u-ch427-n216-start-paper-x0-60, 1035.362 ,237.30,,,60,,848,2022-07-02T21:16:34Z,2022-07-03T08:10:58Z,2022-07-03T08:40:36Z,SUCCEEDED,1949599,114985,39.783,32,28,16
u-ch427-n216-start-paper-x0-70, 1316.488 ,256.65,,,70,,988,2022-07-04T19:30:48Z,2022-07-05T05:07:29Z,2022-07-05T05:42:22Z,EXIT,1960111,219961,63.336,32,28,16
u-ch427-n216-start-paper-x0-prec-00, 128.738 ,40.13,,,0,,22,2022-06-26T22:24:06Z,2022-06-26T23:29:55Z,2022-06-26T23:32:18Z,SUCCEEDED,1918504,74087,0.865,32,28,16
u-ch427-n216-template-start-00, 143.368 ,49.85,,,1,,22,2022-02-14T20:27:09Z,2022-02-14T20:29:41Z,2022-02-14T20:32:24Z,SUCCEEDED,1116068,261759,1.486,32,28,16
u-ch427-n216-template-start-all, 270.224 ,49.88,,,1,,22,2022-02-19T01:35:30Z,2022-02-19T01:35:37Z,2022-02-19T01:41:28Z,SUCCEEDED,1135258,89783,23.174,32,28,16
u-ch427-n216-template-start-all2, 220.823 ,48.69,,,1,,22,2022-02-25T17:23:03Z,2022-02-25T17:23:49Z,2022-02-25T17:27:58Z,SUCCEEDED,1160062,209478,11.635,32,28,16
u-ch427-n216-template-start-paper, 153.971 ,44.88,,,2,,36,2022-06-20T22:52:53Z,2022-06-20T23:04:27Z,2022-06-20T23:07:42Z,SUCCEEDED,1878915,161670,1.110,32,28,16
u-ch427-n216-template-start-paper-00, 155.401 ,46.66,,,2,,36,2022-06-13T18:08:44Z,2022-06-13T18:59:49Z,2022-06-13T19:03:52Z,SUCCEEDED,1814959,143356,1.114,32,28,16
u-ch427-n216-template-start-paper-ms, 180.618 ,59.89,,,2,,36,2022-06-20T22:53:46Z,2022-06-20T23:23:12Z,2022-06-20T23:26:59Z,SUCCEEDED,1878932,260498,1.222,32,28,16
u-ch427-n216-template-start-paper-ms-00, 163.363 ,47.15,,,2,,36,2022-06-18T01:10:08Z,2022-06-18T01:11:05Z,2022-06-18T01:14:36Z,SUCCEEDED,1846939,55510,1.249,32,28,16
u-ch427-n216-template-start-paper-ms-x0-prec, 177.504 ,47.93,,,2,,36,2022-07-02T21:24:04Z,2022-07-02T21:26:02Z,2022-07-02T21:30:05Z,SUCCEEDED,1949621,50597,1.203,32,28,16
u-ch427-n216-template-start-paper-ms-x0-prec-00, 167.666 ,47.39,,,2,,36,2022-06-24T21:03:39Z,2022-06-24T21:04:31Z,2022-06-24T21:08:21Z,SUCCEEDED,1909437,110613,1.217,32,28,16
u-ch427-n216-template-start-paper-prec, 171.526 ,57.59,,,2,,36,2022-06-20T22:53:25Z,2022-06-20T23:23:12Z,2022-06-20T23:26:48Z,SUCCEEDED,1878921,3429,1.191,32,28,16
u-ch427-n216-template-start-paper-prec-00, 151.111 ,43.82,,,2,,36,2022-06-18T14:11:10Z,2022-06-18T15:58:39Z,2022-06-18T16:01:53Z,SUCCEEDED,1859846,7575,1.120,32,28,16
u-ch427-n216-template-start-paper-x0, 154.369 ,45.18,,,2,,36,2022-06-20T22:53:00Z,2022-06-20T23:11:16Z,2022-06-20T23:14:44Z,SUCCEEDED,1878917,188370,1.112,32,28,16
u-ch427-n216-template-start-paper-x0-00, 158.683 ,45.47,,,2,,36,2022-07-02T21:27:23Z,2022-07-02T21:46:22Z,2022-07-02T21:49:57Z,SUCCEEDED,1949633,14354,1.293,32,28,16
u-ch427-n216-template-start-paper-x0-prec, 171.353 ,59.80,,,2,,36,2022-06-20T22:53:38Z,2022-06-20T23:23:12Z,2022-06-20T23:26:57Z,SUCCEEDED,1878926,37003,1.245,32,28,16
u-ch427-n216-template-start-paper-x0-prec-00, 153.030 ,45.11,,,2,,36,2022-06-18T12:44:42Z,2022-06-18T13:00:30Z,2022-06-18T13:03:54Z,SUCCEEDED,1858027,84518,1.116,32,28,16
u-ch427-n216-template-start-paper-x5, 168.976 ,58.00,,,2,,36,2022-06-20T22:53:14Z,2022-06-20T23:23:12Z,2022-06-20T23:26:56Z,SUCCEEDED,1878920,194028,1.111,32,28,16
u-ch427-n216-template-start-paper-x5-00, 156.413 ,44.76,,,2,,36,2022-06-18T17:11:34Z,2022-06-18T17:42:24Z,2022-06-18T17:45:56Z,SUCCEEDED,1863323,256558,1.214,32,28,16
u-ch427-n216-xml-data, 179.059 ,73.65,,,2,,36,2022-10-06T22:01:10Z,2022-10-06T22:01:30Z,2022-10-06T22:05:24Z,SUCCEEDED,2414793,38957,0.865,32,28,16
u-ch427-n512-paper-v2-01, 5578.469 ,106.48,,,1,,45,2022-08-19T00:05:03Z,2022-08-19T00:23:03Z,2022-08-19T01:56:47Z,SUCCEEDED,2200630,237084,39.145,40,32,30
u-ch427-n512-paper-v2-02, 5481.194 ,118.02,,,2,,75,2022-08-19T00:05:03Z,2022-08-19T02:14:09Z,2022-08-19T03:46:21Z,SUCCEEDED,2200631,233856,38.288,40,32,30
u-ch427-n512-paper-v2-03, 5704.799 ,128.10,,,3,,105,2022-08-19T00:05:03Z,2022-08-19T00:37:25Z,2022-08-19T02:13:29Z,SUCCEEDED,2200632,208448,39.145,40,32,30
u-ch427-n512-paper-v2-04, 5678.143 ,134.84,,,4,,135,2022-08-19T00:05:11Z,2022-08-19T01:59:21Z,2022-08-19T03:35:17Z,SUCCEEDED,2200633,46799,39.156,40,32,30
u-ch427-n512-paper-v2-05, 5809.942 ,205.49,,,5,,165,2022-08-23T04:06:57Z,2022-08-23T04:07:36Z,2022-08-23T05:46:33Z,SUCCEEDED,2215926,170796,71.132,40,32,30
u-ch427-n512-paper-v2-06, 5586.883 ,156.02,,,6,,195,2022-08-19T00:05:32Z,2022-08-19T02:54:16Z,2022-08-19T04:29:10Z,SUCCEEDED,2200635,240437,49.486,40,32,30
u-ch427-n512-paper-v2-07, 5710.383 ,211.77,,,7,,225,2022-08-23T04:06:56Z,2022-08-23T04:07:36Z,2022-08-23T05:44:56Z,SUCCEEDED,2215923,197761,57.674,40,32,30
u-ch427-n512-paper-v2-08, 5737.659 ,180.42,,,8,,255,2022-08-23T04:06:57Z,2022-08-23T04:15:53Z,2022-08-23T05:53:46Z,SUCCEEDED,2215925,84592,46.500,40,32,30
u-ch427-n512-paper-v2-09, 5722.402 ,191.80,,,9,,285,2022-08-23T04:07:15Z,2022-08-23T08:20:58Z,2022-08-23T09:59:20Z,SUCCEEDED,2215931,198443,39.444,40,32,30
u-ch427-n512-paper-v2-10, 5631.128 ,193.78,,,10,,315,2022-08-23T04:07:40Z,2022-08-23T10:25:02Z,2022-08-23T12:01:42Z,SUCCEEDED,2215940,159657,54.519,40,32,30
u-ch427-n512-paper-v2-11, 5766.768 ,205.17,,,11,,345,2022-08-23T04:07:55Z,2022-08-23T17:16:56Z,2022-08-23T18:55:51Z,SUCCEEDED,2215942,2612,55.629,40,32,30
u-ch427-n512-paper-v2-12, 5853.544 ,216.98,,,12,,375,2022-08-23T04:08:18Z,2022-08-23T15:11:17Z,2022-08-23T16:52:09Z,SUCCEEDED,2215948,176207,44.442,40,32,30
