SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK,PROCX,PROCY,XIOS_NPROC
final-total-all-suites.csv,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,,,,
n1280,,,,,,,,,,,,,,,,,
n216-ens,,,,,,,,,,,,,,,,,
n216-paper,,,,,,,,,,,,,,,,,
n512-ens,,,,,,,,,,,,,,,,,
n512-paper,,,,,,,,,,,,,,,,,
n96-ens,,,,,,,,,,,,,,,,,
n96-paper,,,,,,,,,,,,,,,,,
old-xml-scripts,,,,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,
u-ch427-n1280-start-paper-01-94-02, 9853.702 ,141.59,,,1,,348,2022-09-14T11:49:43Z,2022-09-16T22:10:37Z,2022-09-17T00:56:25Z,SUCCEEDED,2320312,223068,17.421,94,64,94
u-ch427-n1280-start-paper-of-01-09-02, 9117.191 ,133.67,,,1,,306,2022-09-12T10:58:54Z,2022-09-13T01:52:07Z,2022-09-13T04:25:18Z,SUCCEEDED,2310606,234653,16.971,94,64,9
u-ch427-n1280-start-paper-of-01-14-02, 9080.395 ,133.31,,,1,,308,2022-09-12T10:58:54Z,2022-09-13T01:26:32Z,2022-09-13T03:59:05Z,SUCCEEDED,2310607,80963,17.038,94,64,14
u-ch427-n1280-start-paper-of-01-19-02, 7712.619 ,175.08,,,1,,311,2022-09-17T12:10:11Z,2022-09-18T12:47:35Z,2022-09-18T14:57:20Z,SUCCEEDED,2332176,255705,13.624,94,64,19
u-ch427-n1280-start-paper-of-01-24-02, 8119.971 ,217.59,,,1,,313,2022-09-14T21:48:16Z,2022-09-16T22:10:19Z,2022-09-17T00:26:52Z,SUCCEEDED,2322459,221697,17.113,94,64,24
u-ch427-n1280-start-paper-of-01-28-02, 11372.931 ,173.71,,,1,,315,2022-09-14T21:48:17Z,2022-09-16T23:54:26Z,2022-09-17T03:05:12Z,SUCCEEDED,2322460,124373,22.774,94,64,28
u-ch427-n1280-start-paper-of-01-33-02, 10255.356 ,169.36,,,1,,318,2022-09-16T11:30:33Z,2022-09-17T22:11:01Z,2022-09-18T01:03:09Z,SUCCEEDED,2328462,237655,20.024,94,64,33
u-ch427-n1280-start-paper-of-01-38-02, 9607.208 ,150.08,,,1,,320,2022-09-14T21:48:17Z,2022-09-17T00:27:09Z,2022-09-17T03:08:33Z,SUCCEEDED,2322461,103950,17.972,94,64,38
u-ch427-n1280-start-paper-of-01-42-02, 9361.270 ,180.08,,,1,,322,2022-09-17T18:27:16Z,2022-09-18T12:47:35Z,2022-09-18T15:24:50Z,SUCCEEDED,2332700,14485,17.215,94,64,42
u-ch427-n1280-start-paper-of-01-47-02, 9054.142 ,215.64,,,1,,325,2022-09-17T04:32:43Z,2022-09-18T01:25:52Z,2022-09-18T03:58:01Z,SUCCEEDED,2331535,234973,18.817,94,64,47
u-ch427-n1280-start-paper-of-01-52-02, 9048.509 ,148.34,,,1,,327,2022-09-18T11:38:17Z,2022-09-18T22:31:32Z,2022-09-19T01:03:34Z,SUCCEEDED,2333968,40824,17.052,94,64,52
u-ch427-n1280-start-paper-of-01-56-02, 9790.682 ,162.71,,,1,,329,2022-09-18T22:54:26Z,2022-09-20T00:35:04Z,2022-09-20T03:19:30Z,SUCCEEDED,2335406,126858,24.446,94,64,56
u-ch427-n1280-start-paper-of-01-61-02, 9027.160 ,143.18,,,1,,332,2022-09-18T22:54:25Z,2022-09-19T08:00:32Z,2022-09-19T10:32:16Z,SUCCEEDED,2335403,61452,17.016,94,64,61
u-ch427-n1280-start-paper-of-01-66-02, 9166.701 ,140.05,,,1,,334,2022-09-18T11:38:16Z,2022-09-18T16:17:20Z,2022-09-18T18:51:39Z,SUCCEEDED,2333967,103890,16.756,94,64,66
u-ch427-n1280-start-paper-of-01-71-02, 10395.534 ,183.89,,,1,,337,2022-09-18T11:38:16Z,2022-09-18T15:42:27Z,2022-09-18T18:37:00Z,SUCCEEDED,2333966,211883,17.254,94,64,71
u-ch427-n1280-start-paper-of-01-75-02, 10567.060 ,197.46,,,1,,339,2022-09-17T00:02:01Z,2022-09-18T01:56:06Z,2022-09-18T04:53:28Z,SUCCEEDED,2331281,260543,29.063,94,64,75
u-ch427-n1280-start-paper-of-01-80-02, 10369.186 ,170.70,,,1,,341,2022-09-17T00:02:02Z,2022-09-18T04:53:53Z,2022-09-18T07:47:58Z,SUCCEEDED,2331282,149778,20.627,94,64,80
u-ch427-n1280-start-paper-of-01-85-02, 10384.564 ,228.37,,,1,,344,2022-09-17T04:32:43Z,2022-09-18T12:47:35Z,2022-09-18T15:42:06Z,SUCCEEDED,2331537,64028,31.578,94,64,85
u-ch427-n1280-start-paper-of-01-89-02, 10221.431 ,249.67,,,1,,346,2022-09-17T00:02:01Z,2022-09-17T23:03:50Z,2022-09-18T01:55:48Z,SUCCEEDED,2331279,112905,20.934,94,64,89
u-ch427-n1280-start-paper-of-01-94-02, 9702.933 ,138.58,,,1,,348,2022-09-18T11:38:12Z,2022-09-18T15:39:59Z,2022-09-18T18:22:58Z,SUCCEEDED,2333963,93618,17.375,94,64,94
u-ch427-n1280-template-start-paper-00, 8016.071 ,140.25,,,1,,333,2022-09-11T17:31:21Z,2022-09-11T17:31:30Z,2022-09-11T19:46:23Z,SUCCEEDED,2307684,109494,13.945,94,64,64
u-ch427-n1280-template-start-paper-all-mf-00, 8151.190 ,138.69,,,1,,333,2022-09-11T22:16:48Z,2022-09-11T22:51:26Z,2022-09-12T01:08:29Z,SUCCEEDED,2308535,164681,16.833,94,64,64
u-ch427-n1280-template-start-paper-all-of-00, 9681.795 ,138.38,,,1,,333,2022-09-11T22:17:14Z,2022-09-12T01:16:56Z,2022-09-12T03:59:30Z,SUCCEEDED,2308537,255016,22.043,94,64,64
u-ch427-n1280-template-start-paper-of-00, 9120.261 ,143.77,,,1,,333,2022-09-11T22:04:07Z,2022-09-11T22:04:22Z,2022-09-12T00:37:37Z,SUCCEEDED,2308504,76610,17.194,94,64,64
u-ch427-n1280-template-x0, 2662.69,,,,1,,102,2022-03-05T22:24:49Z,2022-03-05T22:25:07Z,2022-03-05T23:16:26Z,SUCCEEDED,1205946,216842,30.697,94,64,16
u-ch427-n1280-template-x1, 2382.58,,,,1,,102,2022-03-05T22:25:05Z,2022-03-05T22:25:45Z,2022-03-05T23:14:42Z,SUCCEEDED,1205947,105183,43.170,94,64,16
u-ch427-n1280-template-x2, 2742.65,,,,1,,102,2022-03-05T22:25:16Z,2022-03-05T22:31:38Z,2022-03-05T23:31:31Z,SUCCEEDED,1205948,106322,28.646,94,64,16
u-ch427-n1280-template-x3, 2935.66,,,,1,,102,2022-03-05T22:25:36Z,2022-03-05T22:35:59Z,2022-03-05T23:35:36Z,SUCCEEDED,1205949,109497,41.643,94,64,16
u-ch427-n1280-template-x4, 2703.62,,,,1,,102,2022-03-05T22:25:48Z,2022-03-05T22:49:05Z,2022-03-06T00:03:20Z,SUCCEEDED,1205951,66505,115.670,94,64,16
u-ch427-n1280-template-x5, 2662.05,,,,1,,102,2022-03-05T22:26:00Z,2022-03-06T00:11:49Z,2022-03-06T01:17:11Z,SUCCEEDED,1205952,246482,120.159,94,64,16
u-ch427-n1280-template-x6, 2876.37,,,,1,,102,2022-03-05T22:26:17Z,2022-03-06T02:19:16Z,2022-03-06T03:33:16Z,SUCCEEDED,1205954,19758,148.931,94,64,16
u-ch427-n1280-template-x7, 3160.85,,,,1,,102,2022-03-05T22:26:30Z,2022-03-06T04:46:39Z,2022-03-06T06:05:25Z,SUCCEEDED,1205956,255596,187.591,94,64,16
u-ch427-n1280-v2-of-x-00, 2055.311 ,308.20,,,1,,126,2022-10-11T00:47:00Z,2022-10-11T00:55:22Z,2022-10-11T01:30:47Z,SUCCEEDED,2431716,38307,3.054,94,64,64
u-ch427-n1280-v2-of-x5-00, 1667.314 ,296.24,,,1,,126,2022-10-11T00:52:52Z,2022-10-11T01:22:50Z,2022-10-11T01:51:49Z,SUCCEEDED,2431720,5356,1.889,94,64,64
u-ch427-n1280-v2-of-x5-ms-00, 2673.309 ,359.17,,,1,,126,2022-10-14T01:20:22Z,2022-10-14T01:55:38Z,2022-10-14T02:44:17Z,SUCCEEDED,2447673,138600,104.384,94,64,64
u-ch427-n1280-v2-of-x5-orig-00, 2385.743 ,360.45,,,1,,126,2022-10-11T01:00:36Z,2022-10-11T01:55:19Z,2022-10-11T02:36:59Z,SUCCEEDED,2431727,137845,3.315,94,64,64
u-ch427-n1280-v2-of-x-ms-00, 2936.178 ,493.62,,,1,,126,2022-10-11T00:54:30Z,2022-10-11T01:31:57Z,2022-10-11T02:24:57Z,SUCCEEDED,2431723,183814,77.227,94,64,64
u-ch427-n1280-v2-of-x-orig-00, 1767.908 ,335.39,,,1,,126,2022-10-11T01:00:16Z,2022-10-11T01:34:03Z,2022-10-11T02:05:34Z,SUCCEEDED,2431726,184817,2.090,94,64,64
u-ch427-n1280-v2-of-x-test4x,,,,,1,,126,2022-10-16T13:51:46Z,2022-10-16T13:52:28Z,2022-10-16T13:59:49Z,EXIT,2457635,255771,,94,64,64
u-ch427-n1280-v2-x-00, 1734.060 ,297.05,,,1,,126,2022-10-08T14:28:08Z,2022-10-08T14:28:21Z,2022-10-08T14:58:33Z,SUCCEEDED,2421361,201791,1.808,94,64,64
u-ch427-n1280-v2-x-01, 2027.542 ,347.91,,,1,,126,2022-10-08T20:24:49Z,2022-10-08T20:24:59Z,2022-10-08T21:00:32Z,SUCCEEDED,2422402,154372,1.992,94,64,64
u-ch427-n1280-v2-x-02, 2339.183 ,427.47,,,1,,126,2022-10-08T19:20:52Z,2022-10-08T19:21:04Z,2022-10-08T20:01:15Z,SUCCEEDED,2422227,99151,2.015,94,64,64
u-ch427-n1280-v2-x-03, 2065.301 ,386.73,,,1,,126,2022-10-08T19:20:51Z,2022-10-08T19:21:02Z,2022-10-08T19:56:41Z,SUCCEEDED,2422224,30533,1.675,94,64,64
u-ch427-n1280-v2-x-04, 2070.350 ,399.36,,,1,,126,2022-10-08T19:20:52Z,2022-10-08T19:21:04Z,2022-10-08T19:56:47Z,SUCCEEDED,2422225,96891,3.632,94,64,64
u-ch427-n1280-v2-x-05, 2083.747 ,385.99,,,1,,126,2022-10-08T19:20:52Z,2022-10-08T19:21:04Z,2022-10-08T19:56:58Z,SUCCEEDED,2422226,181270,2.104,94,64,64
u-ch427-n1280-v2-x-06, 1637.502 ,283.45,,,1,,126,2022-10-08T18:48:47Z,2022-10-08T18:49:15Z,2022-10-08T19:18:08Z,SUCCEEDED,2422158,27486,1.582,94,64,64
u-ch427-n1280-v2-x-07, 1976.225 ,385.95,,,1,,126,2022-10-08T19:20:53Z,2022-10-08T19:21:04Z,2022-10-08T19:55:13Z,SUCCEEDED,2422228,89496,1.560,94,64,64
u-ch427-n1280-v2-x-08, 1984.744 ,370.00,,,1,,126,2022-10-08T20:24:51Z,2022-10-08T20:25:03Z,2022-10-08T20:59:51Z,SUCCEEDED,2422406,231366,3.884,94,64,64
u-ch427-n1280-v2-x-09, 1720.807 ,287.78,,,1,,126,2022-10-09T01:42:41Z,2022-10-09T01:42:50Z,2022-10-09T02:13:36Z,SUCCEEDED,2423299,96116,1.858,94,64,64
u-ch427-n1280-v2-x5-00, 1750.274 ,300.59,,,1,,126,2022-10-08T14:28:07Z,2022-10-08T14:28:17Z,2022-10-08T14:58:41Z,SUCCEEDED,2421360,55413,1.793,94,64,64
u-ch427-n1280-v2-x5-01, 1878.244 ,357.24,,,1,,126,2022-10-08T20:24:53Z,2022-10-08T20:25:03Z,2022-10-08T20:58:01Z,SUCCEEDED,2422409,225754,1.573,94,64,64
